"Table 2. Marijuana Use in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2016 and 2017 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,14.50%,14.20%,14.80%,12.19%,11.77%,12.63%,33.91%,33.17%,34.66%,11.61%,11.27%,11.95%,14.73%,14.41%,15.06%
2,Northeast,15.10%,14.51%,15.71%,12.29%,11.48%,13.15%,37.92%,36.47%,39.39%,11.77%,11.06%,12.51%,15.36%,14.73%,16.02%
3,Midwest,13.88%,13.37%,14.41%,12.74%,12.04%,13.47%,33.63%,32.50%,34.78%,10.74%,10.12%,11.39%,14.00%,13.44%,14.57%
4,South,12.25%,11.82%,12.69%,10.99%,10.38%,11.62%,30.28%,29.30%,31.29%,9.49%,8.96%,10.05%,12.38%,11.91%,12.86%
5,West,18.17%,17.51%,18.85%,13.58%,12.69%,14.51%,36.86%,35.44%,38.29%,15.62%,14.82%,16.45%,18.64%,17.93%,19.38%
6,Alabama,10.54%,9.16%,12.11%,9.67%,7.87%,11.82%,26.35%,23.02%,29.98%,8.08%,6.60%,9.86%,10.63%,9.16%,12.30%
7,Alaska,22.73%,20.53%,25.10%,16.51%,13.99%,19.39%,39.44%,35.37%,43.66%,20.74%,18.20%,23.53%,23.43%,21.06%,25.98%
8,Arizona,13.85%,12.03%,15.89%,11.05%,9.08%,13.40%,29.75%,25.86%,33.96%,11.55%,9.58%,13.86%,14.14%,12.20%,16.34%
9,Arkansas,12.60%,11.07%,14.31%,10.87%,8.97%,13.11%,27.09%,23.66%,30.82%,10.43%,8.75%,12.39%,12.78%,11.15%,14.61%
10,California,17.39%,16.46%,18.37%,13.30%,11.95%,14.79%,36.53%,34.37%,38.74%,14.63%,13.54%,15.80%,17.81%,16.79%,18.87%
11,Colorado,24.86%,22.61%,27.25%,16.97%,14.25%,20.08%,48.81%,44.51%,53.12%,21.88%,19.31%,24.69%,25.65%,23.24%,28.23%
12,Connecticut,16.22%,14.47%,18.13%,14.73%,12.26%,17.59%,45.21%,40.97%,49.52%,11.68%,9.82%,13.85%,16.37%,14.51%,18.41%
13,Delaware,14.80%,13.08%,16.70%,13.48%,11.18%,16.17%,37.20%,33.10%,41.50%,11.60%,9.75%,13.75%,14.92%,13.10%,16.95%
14,District of Columbia,26.35%,24.04%,28.81%,14.60%,12.07%,17.56%,53.20%,48.47%,57.87%,21.90%,19.34%,24.69%,27.01%,24.59%,29.57%
15,Florida,13.69%,12.69%,14.76%,13.46%,11.98%,15.10%,35.77%,33.45%,38.17%,10.69%,9.56%,11.93%,13.71%,12.63%,14.85%
16,Georgia,11.64%,10.41%,12.99%,10.39%,8.68%,12.39%,29.91%,26.89%,33.12%,8.73%,7.41%,10.26%,11.78%,10.47%,13.24%
17,Hawaii,13.14%,11.39%,15.11%,11.43%,9.39%,13.84%,27.14%,23.50%,31.11%,11.39%,9.45%,13.66%,13.29%,11.43%,15.41%
18,Idaho,12.62%,11.08%,14.35%,12.00%,9.91%,14.46%,28.40%,24.82%,32.27%,10.09%,8.42%,12.05%,12.70%,11.05%,14.56%
19,Illinois,13.83%,12.70%,15.05%,13.34%,11.68%,15.18%,35.26%,32.55%,38.07%,10.42%,9.17%,11.83%,13.88%,12.68%,15.19%
20,Indiana,14.42%,12.81%,16.19%,13.31%,11.07%,15.93%,33.87%,30.13%,37.82%,11.16%,9.45%,13.15%,14.54%,12.83%,16.44%
21,Iowa,11.39%,9.97%,12.98%,10.22%,8.30%,12.52%,30.88%,27.35%,34.64%,8.05%,6.55%,9.86%,11.51%,9.99%,13.21%
22,Kansas,11.93%,10.41%,13.65%,11.76%,9.69%,14.21%,28.87%,25.33%,32.69%,8.93%,7.30%,10.87%,11.95%,10.33%,13.80%
23,Kentucky,12.86%,11.27%,14.64%,11.94%,9.91%,14.31%,28.74%,25.11%,32.68%,10.39%,8.66%,12.41%,12.95%,11.26%,14.85%
24,Louisiana,12.23%,10.72%,13.94%,9.92%,8.11%,12.07%,28.98%,25.28%,32.98%,9.76%,8.13%,11.66%,12.48%,10.85%,14.32%
25,Maine,21.94%,19.74%,24.31%,15.81%,13.26%,18.75%,45.67%,41.47%,49.92%,19.36%,16.85%,22.13%,22.46%,20.11%,24.99%
26,Maryland,15.48%,13.83%,17.28%,13.76%,11.42%,16.49%,39.47%,35.41%,43.67%,12.00%,10.22%,14.05%,15.65%,13.90%,17.58%
27,Massachusetts,19.96%,17.96%,22.12%,16.39%,13.77%,19.39%,44.93%,40.59%,49.36%,16.03%,13.83%,18.51%,20.28%,18.16%,22.58%
