"Table 3. Marijuana Use in the Past Month, by Age Group and State: Percentages, Annual Averages Based on 2016 and 2017 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,9.23%,9.00%,9.47%,6.46%,6.12%,6.82%,21.45%,20.84%,22.08%,7.56%,7.30%,7.83%,9.51%,9.26%,9.77%
2,Northeast,9.83%,9.35%,10.34%,6.76%,6.19%,7.37%,24.86%,23.58%,26.18%,7.77%,7.21%,8.37%,10.12%,9.60%,10.66%
3,Midwest,8.76%,8.35%,9.19%,6.40%,5.91%,6.92%,20.83%,19.84%,21.85%,7.04%,6.57%,7.54%,9.00%,8.57%,9.46%
4,South,7.47%,7.15%,7.82%,5.78%,5.37%,6.22%,18.44%,17.63%,19.29%,5.91%,5.53%,6.32%,7.65%,7.30%,8.02%
5,West,11.98%,11.45%,12.54%,7.42%,6.80%,8.10%,24.18%,22.91%,25.49%,10.51%,9.86%,11.19%,12.45%,11.87%,13.06%
6,Alabama,6.37%,5.29%,7.66%,5.26%,4.14%,6.65%,16.48%,13.65%,19.75%,4.86%,3.74%,6.30%,6.48%,5.34%,7.85%
7,Alaska,15.81%,13.87%,17.98%,8.84%,7.15%,10.88%,26.27%,22.67%,30.22%,14.97%,12.66%,17.61%,16.59%,14.49%,18.94%
8,Arizona,8.38%,7.00%,10.00%,6.31%,4.99%,7.96%,19.09%,16.01%,22.60%,6.85%,5.39%,8.67%,8.59%,7.13%,10.32%
9,Arkansas,8.19%,6.90%,9.71%,5.81%,4.60%,7.32%,15.96%,13.22%,19.13%,7.21%,5.78%,8.96%,8.44%,7.06%,10.07%
10,California,11.33%,10.57%,12.14%,6.93%,6.03%,7.96%,24.07%,22.13%,26.12%,9.70%,8.81%,10.66%,11.78%,10.96%,12.65%
