"Table 4. Perceptions of Great Risk from Smoking Marijuana Once a Month, by Age Group and State: Percentages, Annual Averages Based on 2016 and 2017 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,26.91%,26.49%,27.34%,25.75%,25.13%,26.39%,12.89%,12.41%,13.40%,29.35%,28.84%,29.87%,27.03%,26.57%,27.49%
2,Northeast,25.33%,24.45%,26.24%,25.34%,24.18%,26.54%,11.80%,10.93%,12.72%,27.51%,26.45%,28.59%,25.33%,24.39%,26.30%
3,Midwest,23.80%,23.05%,24.56%,24.74%,23.77%,25.74%,11.04%,10.30%,11.84%,25.82%,24.93%,26.73%,23.70%,22.90%,24.51%
4,South,30.51%,29.85%,31.17%,28.31%,27.36%,29.28%,15.12%,14.35%,15.91%,33.27%,32.50%,34.05%,30.74%,30.03%,31.45%
5,West,25.14%,24.34%,25.96%,22.83%,21.72%,23.98%,11.89%,11.00%,12.84%,27.64%,26.67%,28.63%,25.38%,24.51%,26.26%
6,Alabama,30.57%,28.01%,33.27%,31.66%,27.88%,35.69%,15.68%,13.08%,18.68%,32.88%,29.84%,36.07%,30.46%,27.76%,33.31%
7,Alaska,17.51%,15.50%,19.72%,18.75%,15.97%,21.88%,11.67%,9.54%,14.21%,18.36%,16.00%,20.97%,17.38%,15.26%,19.72%
8,Arizona,27.91%,25.34%,30.63%,26.53%,23.15%,30.22%,14.26%,11.76%,17.18%,30.37%,27.31%,33.62%,28.05%,25.34%,30.94%
9,Arkansas,29.61%,27.18%,32.15%,28.14%,24.78%,31.75%,14.32%,11.91%,17.12%,32.32%,29.42%,35.37%,29.76%,27.19%,32.47%
10,California,27.84%,26.63%,29.08%,23.15%,21.40%,25.00%,12.36%,11.04%,13.81%,31.04%,29.56%,32.57%,28.32%,27.01%,29.66%
11,Colorado,16.53%,14.52%,18.75%,16.21%,13.42%,19.44%,7.34%,5.68%,9.45%,18.08%,15.72%,20.71%,16.56%,14.47%,18.89%
12,Connecticut,22.00%,19.58%,24.63%,22.39%,19.09%,26.08%,10.42%,8.39%,12.87%,23.86%,21.02%,26.95%,21.96%,19.43%,24.72%
13,Delaware,24.32%,21.86%,26.96%,23.69%,20.52%,27.18%,12.21%,9.97%,14.86%,26.21%,23.31%,29.32%,24.38%,21.78%,27.17%
14,District of Columbia,16.85%,14.81%,19.12%,20.18%,17.05%,23.72%,7.99%,6.10%,10.39%,18.38%,15.98%,21.05%,16.66%,14.56%,18.99%
15,Florida,30.74%,29.21%,32.32%,25.43%,23.54%,27.43%,14.31%,12.78%,16.00%,33.53%,31.73%,35.38%,31.20%,29.58%,32.87%
16,Georgia,32.22%,30.16%,34.35%,32.81%,29.64%,36.13%,15.05%,12.91%,17.48%,35.06%,32.54%,37.66%,32.15%,29.95%,34.45%
17,Hawaii,29.53%,26.83%,32.38%,23.81%,20.59%,27.36%,13.68%,11.14%,16.69%,32.30%,29.15%,35.62%,30.04%,27.19%,33.05%
18,Idaho,26.60%,24.31%,29.02%,29.05%,25.62%,32.75%,13.29%,10.99%,15.97%,28.49%,25.76%,31.39%,26.30%,23.88%,28.88%
19,Illinois,25.11%,23.49%,26.80%,23.37%,21.21%,25.68%,12.25%,10.53%,14.20%,27.43%,25.45%,29.50%,25.29%,23.55%,27.12%
20,Indiana,25.57%,23.16%,28.14%,27.07%,23.64%,30.78%,11.82%,9.56%,14.53%,27.81%,24.94%,30.87%,25.41%,22.88%,28.12%
21,Iowa,23.42%,21.14%,25.87%,25.38%,22.15%,28.90%,11.75%,9.59%,14.33%,25.29%,22.56%,28.23%,23.22%,20.82%,25.81%
22,Kansas,24.51%,22.18%,27.00%,26.59%,23.27%,30.21%,12.28%,10.06%,14.90%,26.45%,23.66%,29.44%,24.28%,21.82%,26.92%
23,Kentucky,27.84%,25.41%,30.42%,28.52%,25.14%,32.17%,12.62%,10.37%,15.27%,30.26%,27.36%,33.33%,27.77%,25.19%,30.51%
24,Louisiana,29.08%,26.73%,31.55%,27.75%,24.39%,31.38%,14.73%,12.23%,17.63%,31.63%,28.82%,34.58%,29.22%,26.73%,31.84%
25,Maine,18.07%,15.87%,20.51%,19.33%,16.42%,22.62%,7.90%,6.23%,9.96%,19.33%,16.76%,22.18%,17.96%,15.66%,20.53%
26,Maryland,25.11%,22.73%,27.64%,26.24%,22.77%,30.04%,12.66%,10.44%,15.27%,26.90%,24.13%,29.87%,24.99%,22.52%,27.65%
27,Massachusetts,19.61%,17.36%,22.06%,20.33%,17.28%,23.77%,9.02%,7.21%,11.23%,21.37%,18.73%,24.27%,19.54%,17.21%,22.10%
28,Michigan,21.88%,20.32%,23.53%,23.50%,21.32%,25.83%,9.81%,8.39%,11.44%,23.74%,21.83%,25.76%,21.72%,20.05%,23.49%
29,Minnesota,19.25%,17.21%,21.46%,21.73%,18.73%,25.06%,8.70%,6.94%,10.85%,20.64%,18.26%,23.25%,18.99%,16.86%,21.32%
30,Mississippi,35.07%,32.35%,37.90%,32.44%,28.89%,36.21%,21.42%,18.07%,25.19%,37.81%,34.51%,41.23%,35.36%,32.44%,38.40%
31,Missouri,24.67%,22.42%,27.06%,26.41%,23.06%,30.06%,11.87%,9.58%,14.61%,26.56%,23.93%,29.37%,24.49%,22.13%,27.01%
32,Montana,20.30%,18.20%,22.58%,20.91%,17.85%,24.33%,9.22%,7.46%,11.35%,22.02%,19.54%,24.73%,20.24%,18.04%,22.64%
33,Nebraska,24.15%,21.79%,26.67%,25.60%,22.41%,29.07%,11.93%,9.78%,14.49%,26.16%,23.33%,29.20%,23.99%,21.49%,26.67%
34,Nevada,23.32%,20.91%,25.91%,18.55%,15.65%,21.84%,10.63%,8.43%,13.31%,25.73%,22.91%,28.77%,23.80%,21.26%,26.54%
35,New Hampshire,18.97%,16.80%,21.36%,22.78%,19.70%,26.19%,7.55%,6.00%,9.48%,20.36%,17.80%,23.18%,18.63%,16.36%,21.13%
36,New Jersey,32.09%,29.71%,34.56%,29.71%,26.47%,33.17%,13.18%,11.08%,15.62%,35.18%,32.33%,38.15%,32.32%,29.80%,34.96%
37,New Mexico,25.75%,23.30%,28.36%,20.76%,17.84%,24.03%,13.00%,10.63%,15.81%,28.49%,25.54%,31.63%,26.28%,23.67%,29.06%
38,New York,27.18%,25.69%,28.73%,26.53%,24.56%,28.61%,13.35%,11.83%,15.03%,29.52%,27.72%,31.39%,27.24%,25.65%,28.88%
39,North Carolina,29.98%,27.91%,32.12%,27.42%,24.46%,30.58%,16.47%,14.08%,19.18%,32.43%,29.95%,35.01%,30.24%,28.03%,32.54%
40,North Dakota,23.18%,21.01%,25.50%,27.78%,24.62%,31.17%,11.06%,8.89%,13.69%,25.20%,22.53%,28.07%,22.75%,20.47%,25.21%
