"Table 5. First Use of Marijuana, by Age Group and State: Average Annual Initiation Estimates (Expressed as Percentages of the At-Risk Population) Based on 2016 and 2017 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Average annual initiation of marijuana (%) = 100 * {[X1 ÷ (0.5 * X1 + X2)] ÷ 2}, where X1 is the number of marijuana initiates in the past 24 months and X2 is the number of individuals who never used marijuana (with the at-risk population defined as 0.5 * X1 + X2). Both of the computation components, X1 and X2, are based on a survey-weighted hierarchical Bayes estimation approach. The age group shown is based on a respondent's age at the time of the interview, not his or her age at first use. For details, see Section B of the “2016-2017 NSDUH: Guide to State Tables and Summary of Small Area Estimation Methodology” at https://www.samhsa.gov/data/.",,,,,,,,,,,,,,,,
"NOTE: The state and census region Bayesian confidence (credible) intervals presented here use a simultaneous solution for the First Use of Marijuana and Never Used Marijuana outcomes, which had age group-specific random effects that were allowed to be correlated across the two outcomes. The associated Markov Chain Monte Carlo chains were used to calculate the posterior variance. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,2.03%,1.95%,2.11%,5.22%,5.01%,5.45%,7.98%,7.56%,8.42%,0.45%,0.40%,0.52%,1.48%,1.40%,1.57%
2,Northeast,2.17%,2.04%,2.31%,5.34%,4.98%,5.73%,9.06%,8.34%,9.83%,0.53%,0.44%,0.63%,1.65%,1.52%,1.79%
3,Midwest,2.21%,2.10%,2.33%,5.51%,5.17%,5.87%,8.74%,8.16%,9.35%,0.46%,0.39%,0.54%,1.62%,1.51%,1.74%
4,South,1.70%,1.61%,1.79%,4.75%,4.48%,5.03%,6.59%,6.16%,7.05%,0.35%,0.30%,0.42%,1.20%,1.11%,1.29%
5,West,2.33%,2.19%,2.48%,5.66%,5.27%,6.08%,8.89%,8.18%,9.66%,0.57%,0.48%,0.68%,1.73%,1.59%,1.89%
6,Alabama,1.55%,1.33%,1.81%,3.91%,3.15%,4.84%,6.30%,5.01%,7.88%,0.35%,0.25%,0.48%,1.18%,0.97%,1.44%
7,Alaska,3.22%,2.75%,3.77%,7.09%,5.93%,8.44%,8.96%,7.02%,11.37%,1.05%,0.73%,1.52%,2.31%,1.86%,2.87%
8,Arizona,1.87%,1.59%,2.19%,4.32%,3.50%,5.33%,6.83%,5.39%,8.61%,0.53%,0.38%,0.72%,1.43%,1.17%,1.75%
9,Arkansas,1.60%,1.38%,1.86%,4.61%,3.81%,5.56%,5.62%,4.43%,7.10%,0.33%,0.24%,0.45%,1.10%,0.90%,1.35%
10,California,2.12%,1.94%,2.33%,5.60%,5.03%,6.24%,8.43%,7.40%,9.59%,0.45%,0.34%,0.59%,1.54%,1.36%,1.75%
11,Colorado,3.99%,3.41%,4.67%,7.89%,6.58%,9.44%,15.56%,12.37%,19.39%,1.09%,0.76%,1.57%,3.14%,2.55%,3.86%
12,Connecticut,2.72%,2.35%,3.15%,6.65%,5.52%,7.99%,10.92%,8.78%,13.51%,0.70%,0.50%,0.97%,1.99%,1.65%,2.41%
13,Delaware,2.05%,1.76%,2.38%,5.66%,4.66%,6.87%,8.22%,6.54%,10.28%,0.49%,0.36%,0.67%,1.46%,1.20%,1.76%
14,District of Columbia,3.99%,3.36%,4.72%,7.35%,6.14%,8.77%,14.57%,11.69%,18.02%,1.36%,0.93%,2.01%,3.54%,2.89%,4.33%
15,Florida,1.69%,1.53%,1.86%,5.70%,5.07%,6.39%,7.73%,6.67%,8.93%,0.37%,0.28%,0.49%,1.15%,1.01%,1.32%
