"Table 6. Illicit Drug Use Other Than Marijuana in the Past Month, by Age Group and State: Percentages, Annual Averages Based on 2016 and 2017 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Illicit Drug Use Other than Marijuana Use includes the misuse of prescription psychotherapeutics or the use of cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine. Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one's own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription psychotherapeutics do not include over-the-counter drugs.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,3.38%,3.23%,3.52%,2.43%,2.24%,2.64%,7.07%,6.71%,7.46%,2.88%,2.72%,3.05%,3.47%,3.32%,3.63%
2,Northeast,3.41%,3.13%,3.71%,2.05%,1.74%,2.42%,7.74%,7.03%,8.52%,2.86%,2.54%,3.22%,3.53%,3.23%,3.86%
3,Midwest,3.28%,3.06%,3.51%,2.41%,2.13%,2.73%,7.21%,6.62%,7.84%,2.73%,2.48%,3.01%,3.37%,3.13%,3.62%
4,South,3.17%,2.98%,3.38%,2.53%,2.25%,2.83%,6.63%,6.13%,7.16%,2.70%,2.47%,2.94%,3.24%,3.04%,3.46%
5,West,3.76%,3.48%,4.06%,2.55%,2.22%,2.93%,7.16%,6.46%,7.92%,3.34%,3.01%,3.71%,3.88%,3.58%,4.21%
6,Alabama,3.43%,2.78%,4.24%,2.71%,1.88%,3.91%,6.85%,5.23%,8.93%,2.96%,2.26%,3.89%,3.51%,2.81%,4.37%
7,Alaska,3.54%,2.85%,4.38%,2.42%,1.68%,3.46%,7.17%,5.37%,9.51%,3.08%,2.33%,4.05%,3.66%,2.93%,4.58%
8,Arizona,3.46%,2.73%,4.37%,2.31%,1.61%,3.32%,5.89%,4.28%,8.06%,3.19%,2.39%,4.26%,3.58%,2.80%,4.56%
9,Arkansas,3.66%,2.91%,4.59%,3.14%,2.22%,4.41%,6.40%,4.71%,8.64%,3.27%,2.44%,4.36%,3.71%,2.92%,4.71%
10,California,3.82%,3.40%,4.30%,2.46%,1.98%,3.07%,7.00%,5.96%,8.21%,3.45%,2.95%,4.02%,3.96%,3.50%,4.48%
