"Table 7. Cocaine Use in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2016 and 2017 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,2.03%,1.93%,2.14%,0.53%,0.44%,0.63%,5.88%,5.51%,6.26%,1.59%,1.48%,1.70%,2.19%,2.08%,2.30%
2,Northeast,2.34%,2.12%,2.59%,0.53%,0.42%,0.67%,6.69%,5.97%,7.48%,1.85%,1.61%,2.12%,2.51%,2.27%,2.78%
3,Midwest,1.77%,1.61%,1.94%,0.51%,0.40%,0.65%,5.22%,4.67%,5.83%,1.34%,1.18%,1.53%,1.90%,1.73%,2.08%
4,South,1.75%,1.62%,1.89%,0.42%,0.33%,0.54%,4.99%,4.52%,5.50%,1.39%,1.24%,1.55%,1.89%,1.74%,2.04%
5,West,2.49%,2.27%,2.74%,0.71%,0.54%,0.93%,7.24%,6.47%,8.09%,1.92%,1.67%,2.19%,2.67%,2.43%,2.94%
6,Alabama,1.62%,1.19%,2.21%,0.36%,0.21%,0.60%,3.84%,2.68%,5.45%,1.41%,0.98%,2.04%,1.75%,1.28%,2.39%
7,Alaska,2.32%,1.76%,3.05%,0.71%,0.44%,1.13%,5.76%,4.17%,7.90%,1.95%,1.39%,2.74%,2.50%,1.89%,3.30%
8,Arizona,2.11%,1.57%,2.84%,0.66%,0.41%,1.04%,5.85%,4.20%,8.08%,1.67%,1.15%,2.42%,2.27%,1.67%,3.06%
9,Arkansas,1.48%,1.07%,2.04%,0.51%,0.32%,0.82%,3.75%,2.62%,5.35%,1.23%,0.83%,1.81%,1.58%,1.14%,2.19%
10,California,2.71%,2.37%,3.09%,0.69%,0.47%,0.99%,7.99%,6.79%,9.38%,2.05%,1.70%,2.48%,2.91%,2.55%,3.33%
11,Colorado,2.68%,2.07%,3.47%,0.79%,0.50%,1.25%,8.32%,6.32%,10.88%,1.98%,1.40%,2.80%,2.87%,2.21%,3.73%
12,Connecticut,2.74%,2.10%,3.58%,0.60%,0.38%,0.96%,8.36%,6.32%,10.99%,2.08%,1.45%,2.96%,2.95%,2.25%,3.86%
13,Delaware,2.02%,1.51%,2.71%,0.37%,0.22%,0.61%,6.20%,4.51%,8.46%,1.58%,1.09%,2.29%,2.18%,1.62%,2.92%
14,District of Columbia,4.34%,3.34%,5.60%,0.22%,0.11%,0.44%,7.00%,5.17%,9.40%,4.10%,3.01%,5.55%,4.57%,3.52%,5.90%
15,Florida,1.96%,1.64%,2.33%,0.45%,0.30%,0.66%,6.22%,5.13%,7.52%,1.52%,1.20%,1.91%,2.09%,1.75%,2.49%
