"Table 8. Perceptions of Great Risk from Using Cocaine Once a Month, by Age Group and State: Percentages, Annual Averages Based on 2016 and 2017 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,71.55%,71.15%,71.95%,56.01%,55.28%,56.73%,63.91%,63.17%,64.63%,74.62%,74.14%,75.09%,73.11%,72.68%,73.53%
2,Northeast,68.92%,68.10%,69.73%,55.84%,54.52%,57.15%,60.02%,58.50%,61.52%,71.73%,70.74%,72.70%,70.12%,69.23%,70.98%
3,Midwest,71.40%,70.76%,72.04%,54.66%,53.52%,55.79%,63.40%,62.07%,64.70%,74.73%,73.94%,75.49%,73.11%,72.41%,73.79%
4,South,75.44%,74.92%,75.96%,57.72%,56.71%,58.73%,68.49%,67.26%,69.70%,78.68%,78.03%,79.31%,77.26%,76.69%,77.82%
5,West,67.48%,66.69%,68.26%,54.58%,53.26%,55.88%,60.09%,58.46%,61.70%,70.23%,69.27%,71.17%,68.78%,67.92%,69.62%
6,Alabama,76.69%,74.56%,78.69%,58.73%,54.89%,62.47%,71.28%,67.80%,74.53%,79.67%,77.19%,81.95%,78.50%,76.22%,80.61%
7,Alaska,66.25%,63.73%,68.68%,52.81%,49.03%,56.55%,60.84%,56.94%,64.60%,68.89%,65.89%,71.75%,67.73%,65.02%,70.32%
8,Arizona,71.38%,68.87%,73.77%,58.15%,54.45%,61.77%,65.19%,61.14%,69.02%,74.02%,71.02%,76.81%,72.76%,70.04%,75.31%
9,Arkansas,77.28%,75.20%,79.23%,56.96%,53.12%,60.71%,71.37%,67.69%,74.80%,80.74%,78.32%,82.94%,79.41%,77.20%,81.46%
10,California,67.53%,66.28%,68.76%,54.97%,52.78%,57.13%,59.87%,57.45%,62.25%,70.31%,68.80%,71.77%,68.79%,67.45%,70.11%
11,Colorado,64.77%,62.23%,67.23%,52.21%,48.47%,55.92%,56.00%,51.72%,60.19%,67.66%,64.66%,70.52%,66.02%,63.28%,68.65%
12,Connecticut,67.67%,65.13%,70.10%,54.86%,50.98%,58.68%,56.31%,52.26%,60.29%,70.97%,67.96%,73.81%,68.91%,66.19%,71.52%
13,Delaware,71.31%,68.95%,73.56%,56.17%,52.28%,60.00%,66.82%,62.94%,70.48%,73.60%,70.83%,76.20%,72.71%,70.20%,75.09%
14,District of Columbia,60.19%,57.28%,63.02%,56.65%,52.56%,60.64%,53.11%,48.89%,57.29%,61.78%,58.34%,65.10%,60.36%,57.33%,63.32%
15,Florida,76.45%,75.13%,77.72%,57.88%,55.61%,60.11%,67.40%,64.92%,69.80%,79.51%,77.95%,80.99%,78.04%,76.63%,79.39%
16,Georgia,77.72%,75.96%,79.39%,61.39%,58.10%,64.59%,70.90%,67.78%,73.83%,81.00%,78.96%,82.89%,79.54%,77.66%,81.30%
17,Hawaii,67.73%,65.09%,70.26%,53.74%,49.75%,57.67%,64.35%,60.01%,68.47%,69.62%,66.49%,72.57%,68.97%,66.13%,71.67%
18,Idaho,71.25%,68.93%,73.47%,55.81%,52.09%,59.46%,65.02%,61.00%,68.83%,74.45%,71.73%,76.99%,73.10%,70.59%,75.47%
19,Illinois,70.93%,69.34%,72.46%,55.10%,52.36%,57.81%,63.08%,60.25%,65.81%,74.09%,72.20%,75.89%,72.55%,70.84%,74.19%
20,Indiana,73.31%,71.13%,75.39%,55.61%,51.78%,59.38%,65.43%,61.58%,69.09%,76.92%,74.38%,79.28%,75.21%,72.89%,77.39%
21,Iowa,70.59%,68.28%,72.80%,54.58%,50.88%,58.23%,61.50%,57.50%,65.35%,74.13%,71.38%,76.71%,72.22%,69.72%,74.58%
22,Kansas,71.79%,69.53%,73.94%,55.70%,52.02%,59.32%,66.16%,62.35%,69.77%,74.88%,72.21%,77.38%,73.56%,71.12%,75.86%
23,Kentucky,75.46%,73.23%,77.57%,58.35%,54.66%,61.95%,67.12%,63.27%,70.76%,78.82%,76.23%,81.20%,77.18%,74.81%,79.39%
24,Louisiana,73.91%,71.71%,76.00%,55.03%,51.31%,58.69%,68.05%,64.11%,71.76%,77.18%,74.64%,79.54%,75.88%,73.53%,78.09%
25,Maine,70.18%,67.67%,72.59%,56.63%,52.98%,60.21%,59.87%,55.85%,63.76%,72.86%,69.94%,75.59%,71.31%,68.63%,73.85%
26,Maryland,71.40%,69.18%,73.51%,56.74%,52.97%,60.43%,62.63%,58.93%,66.20%,74.40%,71.79%,76.84%,72.83%,70.47%,75.06%
27,Massachusetts,63.65%,61.04%,66.20%,54.52%,50.63%,58.35%,53.75%,49.66%,57.79%,66.31%,63.21%,69.26%,64.46%,61.66%,67.15%
28,Michigan,72.99%,71.43%,74.49%,53.65%,50.90%,56.38%,64.53%,61.87%,67.09%,76.67%,74.81%,78.43%,74.92%,73.25%,76.52%
29,Minnesota,66.23%,63.87%,68.51%,52.26%,48.50%,55.99%,59.13%,55.02%,63.13%,69.00%,66.23%,71.64%,67.64%,65.09%,70.09%
30,Mississippi,79.47%,77.56%,81.26%,58.42%,54.73%,62.02%,73.37%,69.73%,76.73%,83.23%,81.02%,85.23%,81.76%,79.74%,83.63%
31,Missouri,73.04%,70.88%,75.10%,56.40%,52.65%,60.08%,63.83%,59.94%,67.54%,76.49%,73.95%,78.84%,74.71%,72.40%,76.89%
32,Montana,68.34%,66.00%,70.59%,53.99%,50.25%,57.70%,58.89%,54.90%,62.77%,71.38%,68.66%,73.94%,69.65%,67.16%,72.03%
33,Nebraska,70.79%,68.48%,73.00%,53.66%,50.06%,57.22%,60.13%,55.94%,64.18%,74.88%,72.15%,77.42%,72.65%,70.14%,75.02%
34,Nevada,69.95%,67.49%,72.31%,52.63%,48.77%,56.46%,62.63%,58.50%,66.58%,73.00%,70.12%,75.71%,71.68%,69.04%,74.18%
35,New Hampshire,67.04%,64.56%,69.42%,54.96%,51.34%,58.52%,52.47%,48.25%,56.66%,70.53%,67.61%,73.29%,68.10%,65.46%,70.64%
36,New Jersey,71.77%,69.61%,73.84%,59.02%,55.57%,62.38%,61.95%,58.30%,65.47%,74.69%,72.19%,77.04%,73.03%,70.73%,75.21%
37,New Mexico,69.51%,67.00%,71.91%,53.07%,49.30%,56.81%,62.23%,58.17%,66.13%,72.73%,69.75%,75.52%,71.24%,68.53%,73.80%
38,New York,68.85%,67.31%,70.36%,55.98%,53.62%,58.31%,62.06%,59.52%,64.55%,71.31%,69.45%,73.09%,70.01%,68.34%,71.62%
39,North Carolina,74.58%,72.77%,76.32%,55.45%,52.04%,58.82%,68.62%,65.27%,71.79%,77.78%,75.64%,79.78%,76.52%,74.58%,78.36%
40,North Dakota,71.37%,69.16%,73.47%,55.62%,52.02%,59.16%,61.09%,57.19%,64.85%,75.22%,72.59%,77.67%,72.80%,70.44%,75.03%
41,Ohio,72.47%,70.92%,73.97%,56.65%,54.06%,59.21%,64.96%,62.34%,67.50%,75.51%,73.67%,77.27%,74.06%,72.39%,75.66%
42,Oklahoma,72.51%,70.04%,74.84%,58.38%,54.56%,62.10%,69.33%,65.31%,73.07%,74.84%,71.93%,77.55%,74.03%,71.37%,76.53%
43,Oregon,62.53%,59.97%,65.02%,50.99%,47.11%,54.86%,53.98%,49.85%,58.05%,65.01%,62.02%,67.88%,63.56%,60.83%,66.21%
44,Pennsylvania,70.58%,69.00%,72.11%,54.27%,51.61%,56.91%,61.55%,58.72%,64.30%,73.71%,71.80%,75.53%,72.07%,70.37%,73.71%
45,Rhode Island,67.52%,64.98%,69.96%,56.01%,52.29%,59.67%,59.38%,55.09%,63.54%,70.15%,67.20%,72.95%,68.51%,65.81%,71.09%
46,South Carolina,76.02%,73.88%,78.03%,56.23%,52.56%,59.84%,68.14%,64.64%,71.45%,79.46%,76.97%,81.74%,77.93%,75.66%,80.04%
47,South Dakota,70.25%,67.94%,72.45%,52.86%,49.34%,56.36%,64.61%,60.77%,68.27%,73.34%,70.56%,75.94%,72.07%,69.57%,74.43%
