"Table 9. Heroin Use in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2016 and 2017 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,0.34%,0.30%,0.38%,0.05%,0.03%,0.09%,0.64%,0.53%,0.77%,0.32%,0.28%,0.37%,0.37%,0.32%,0.42%
2,Northeast,0.45%,0.35%,0.56%,0.05%,0.02%,0.11%,0.77%,0.60%,0.99%,0.44%,0.33%,0.57%,0.48%,0.38%,0.61%
3,Midwest,0.35%,0.28%,0.44%,0.05%,0.02%,0.11%,0.65%,0.50%,0.84%,0.33%,0.26%,0.43%,0.38%,0.30%,0.47%
4,South,0.33%,0.26%,0.40%,0.05%,0.03%,0.12%,0.67%,0.53%,0.85%,0.30%,0.23%,0.39%,0.35%,0.29%,0.44%
5,West,0.27%,0.21%,0.36%,0.06%,0.02%,0.13%,0.49%,0.36%,0.67%,0.26%,0.19%,0.36%,0.29%,0.22%,0.39%
6,Alabama,0.30%,0.16%,0.58%,0.02%,0.00%,0.10%,0.58%,0.28%,1.21%,0.29%,0.14%,0.58%,0.33%,0.17%,0.64%
7,Alaska,0.44%,0.24%,0.83%,0.10%,0.03%,0.35%,0.91%,0.47%,1.77%,0.41%,0.20%,0.83%,0.48%,0.26%,0.91%
8,Arizona,0.35%,0.19%,0.64%,0.05%,0.02%,0.14%,0.77%,0.39%,1.49%,0.32%,0.16%,0.62%,0.38%,0.20%,0.71%
9,Arkansas,0.25%,0.12%,0.50%,0.05%,0.02%,0.14%,0.49%,0.22%,1.08%,0.23%,0.11%,0.50%,0.27%,0.13%,0.54%
10,California,0.19%,0.11%,0.31%,0.05%,0.02%,0.17%,0.30%,0.16%,0.55%,0.18%,0.10%,0.32%,0.20%,0.12%,0.33%
11,Colorado,0.28%,0.14%,0.56%,0.04%,0.01%,0.13%,0.54%,0.25%,1.15%,0.26%,0.12%,0.57%,0.30%,0.15%,0.62%
12,Connecticut,0.70%,0.42%,1.18%,0.06%,0.02%,0.16%,1.31%,0.72%,2.37%,0.68%,0.38%,1.20%,0.77%,0.45%,1.29%
13,Delaware,0.84%,0.50%,1.43%,0.06%,0.02%,0.20%,1.56%,0.85%,2.85%,0.82%,0.46%,1.47%,0.92%,0.54%,1.55%
14,District of Columbia,0.37%,0.18%,0.76%,0.01%,0.00%,0.08%,0.32%,0.13%,0.77%,0.40%,0.19%,0.85%,0.39%,0.19%,0.80%
15,Florida,0.29%,0.19%,0.44%,0.14%,0.05%,0.40%,0.63%,0.39%,1.02%,0.26%,0.16%,0.42%,0.30%,0.20%,0.46%
16,Georgia,0.19%,0.10%,0.37%,0.02%,0.01%,0.09%,0.37%,0.18%,0.76%,0.19%,0.09%,0.38%,0.21%,0.11%,0.41%
17,Hawaii,0.24%,0.12%,0.49%,0.05%,0.01%,0.21%,0.56%,0.25%,1.25%,0.22%,0.10%,0.48%,0.26%,0.13%,0.53%
18,Idaho,0.33%,0.18%,0.61%,0.06%,0.03%,0.15%,0.58%,0.28%,1.20%,0.32%,0.16%,0.63%,0.36%,0.19%,0.67%
19,Illinois,0.25%,0.15%,0.43%,0.04%,0.01%,0.10%,0.45%,0.25%,0.83%,0.25%,0.14%,0.44%,0.27%,0.16%,0.47%
20,Indiana,0.64%,0.38%,1.06%,0.07%,0.03%,0.16%,1.26%,0.69%,2.31%,0.60%,0.34%,1.04%,0.70%,0.42%,1.17%
21,Iowa,0.23%,0.11%,0.45%,0.05%,0.02%,0.14%,0.48%,0.22%,1.06%,0.20%,0.09%,0.44%,0.24%,0.12%,0.49%
22,Kansas,0.29%,0.15%,0.58%,0.06%,0.02%,0.14%,0.52%,0.24%,1.15%,0.29%,0.14%,0.59%,0.32%,0.16%,0.63%
23,Kentucky,0.37%,0.20%,0.69%,0.05%,0.02%,0.14%,0.67%,0.34%,1.33%,0.36%,0.19%,0.71%,0.41%,0.22%,0.75%
24,Louisiana,0.22%,0.11%,0.46%,0.04%,0.01%,0.11%,0.40%,0.18%,0.91%,0.21%,0.09%,0.47%,0.24%,0.11%,0.50%
25,Maine,0.51%,0.30%,0.86%,0.05%,0.02%,0.14%,1.24%,0.70%,2.20%,0.45%,0.25%,0.81%,0.55%,0.32%,0.92%
26,Maryland,0.54%,0.31%,0.91%,0.05%,0.02%,0.14%,1.03%,0.54%,1.95%,0.52%,0.29%,0.91%,0.58%,0.34%,1.00%
27,Massachusetts,0.42%,0.22%,0.79%,0.03%,0.01%,0.12%,0.62%,0.29%,1.31%,0.43%,0.22%,0.84%,0.46%,0.24%,0.86%
28,Michigan,0.31%,0.19%,0.51%,0.06%,0.02%,0.14%,0.52%,0.28%,0.95%,0.30%,0.18%,0.52%,0.33%,0.20%,0.55%
29,Minnesota,0.23%,0.12%,0.46%,0.03%,0.01%,0.10%,0.51%,0.23%,1.12%,0.21%,0.10%,0.44%,0.25%,0.13%,0.50%
30,Mississippi,0.21%,0.10%,0.43%,0.01%,0.00%,0.09%,0.42%,0.19%,0.93%,0.20%,0.09%,0.43%,0.23%,0.11%,0.48%
31,Missouri,0.30%,0.16%,0.56%,0.04%,0.02%,0.12%,0.54%,0.25%,1.18%,0.29%,0.15%,0.56%,0.32%,0.17%,0.61%
32,Montana,0.33%,0.18%,0.62%,0.08%,0.03%,0.21%,0.71%,0.36%,1.42%,0.30%,0.15%,0.60%,0.36%,0.19%,0.67%
33,Nebraska,0.22%,0.10%,0.47%,0.07%,0.02%,0.19%,0.40%,0.17%,0.93%,0.21%,0.09%,0.49%,0.24%,0.11%,0.52%
34,Nevada,0.50%,0.27%,0.90%,0.09%,0.03%,0.26%,1.16%,0.59%,2.25%,0.45%,0.23%,0.87%,0.54%,0.29%,0.98%
35,New Hampshire,0.68%,0.41%,1.12%,0.09%,0.04%,0.23%,1.43%,0.82%,2.49%,0.62%,0.35%,1.09%,0.73%,0.44%,1.21%
36,New Jersey,0.45%,0.27%,0.75%,0.05%,0.02%,0.12%,0.82%,0.45%,1.49%,0.44%,0.25%,0.77%,0.49%,0.29%,0.82%
37,New Mexico,0.34%,0.19%,0.63%,0.10%,0.04%,0.25%,0.81%,0.41%,1.60%,0.29%,0.15%,0.58%,0.37%,0.20%,0.69%
38,New York,0.30%,0.18%,0.49%,0.04%,0.01%,0.10%,0.46%,0.26%,0.82%,0.30%,0.17%,0.51%,0.32%,0.19%,0.53%
39,North Carolina,0.45%,0.28%,0.73%,0.04%,0.01%,0.13%,0.96%,0.54%,1.71%,0.42%,0.24%,0.72%,0.49%,0.30%,0.80%
40,North Dakota,0.46%,0.26%,0.82%,0.07%,0.03%,0.16%,0.86%,0.44%,1.64%,0.42%,0.22%,0.80%,0.50%,0.28%,0.89%
41,Ohio,0.45%,0.30%,0.68%,0.07%,0.03%,0.15%,0.83%,0.51%,1.34%,0.44%,0.28%,0.68%,0.49%,0.32%,0.74%
42,Oklahoma,0.43%,0.23%,0.79%,0.07%,0.03%,0.17%,0.99%,0.49%,1.96%,0.38%,0.19%,0.75%,0.47%,0.25%,0.87%
