"Table 10. Perceptions of Great Risk from Trying Heroin Once or Twice, by Age Group and State: Percentages, Annual Averages Based on 2016 and 2017 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,86.00%,85.71%,86.28%,65.92%,65.25%,66.59%,82.76%,82.20%,83.30%,88.85%,88.51%,89.18%,88.00%,87.69%,88.29%
2,Northeast,86.02%,85.41%,86.61%,66.55%,65.31%,67.78%,82.95%,81.88%,83.96%,88.58%,87.87%,89.24%,87.80%,87.16%,88.41%
3,Midwest,86.13%,85.63%,86.61%,65.55%,64.48%,66.61%,83.20%,82.35%,84.02%,89.05%,88.49%,89.58%,88.21%,87.70%,88.71%
4,South,87.44%,87.02%,87.84%,67.09%,66.10%,68.07%,83.90%,83.13%,84.63%,90.42%,89.94%,90.87%,89.51%,89.08%,89.93%
5,West,83.57%,82.95%,84.16%,63.93%,62.67%,65.18%,80.48%,79.31%,81.59%,86.39%,85.67%,87.07%,85.54%,84.89%,86.17%
6,Alabama,88.31%,86.84%,89.63%,67.42%,63.74%,70.89%,85.69%,83.01%,88.01%,91.16%,89.49%,92.59%,90.40%,88.85%,91.74%
7,Alaska,83.35%,81.40%,85.12%,63.59%,60.05%,67.00%,81.02%,77.88%,83.80%,86.28%,83.99%,88.28%,85.52%,83.42%,87.39%
8,Arizona,86.57%,84.72%,88.23%,66.92%,63.24%,70.41%,84.37%,81.33%,87.00%,89.31%,87.18%,91.12%,88.60%,86.64%,90.31%
9,Arkansas,86.57%,84.97%,88.03%,65.33%,61.76%,68.73%,82.32%,79.41%,84.89%,89.85%,87.98%,91.46%,88.79%,87.08%,90.29%
10,California,83.56%,82.58%,84.50%,64.20%,62.17%,66.19%,80.44%,78.60%,82.16%,86.35%,85.20%,87.43%,85.49%,84.44%,86.49%
11,Colorado,83.12%,81.25%,84.83%,62.01%,58.15%,65.72%,79.58%,76.24%,82.57%,86.13%,84.01%,88.01%,85.21%,83.22%,87.00%
12,Connecticut,86.32%,84.53%,87.94%,66.16%,62.50%,69.64%,82.15%,79.07%,84.86%,89.28%,87.20%,91.07%,88.28%,86.37%,89.96%
13,Delaware,87.19%,85.56%,88.66%,66.91%,63.19%,70.44%,84.25%,81.30%,86.81%,89.78%,87.93%,91.37%,89.06%,87.34%,90.57%
14,District of Columbia,82.28%,80.07%,84.29%,65.64%,61.77%,69.31%,77.54%,73.79%,80.89%,84.29%,81.79%,86.49%,83.18%,80.88%,85.26%
15,Florida,89.00%,88.05%,89.89%,67.56%,65.41%,69.64%,84.15%,82.27%,85.87%,91.74%,90.66%,92.71%,90.83%,89.82%,91.75%
16,Georgia,88.64%,87.35%,89.82%,70.97%,67.94%,73.83%,86.24%,83.90%,88.29%,91.33%,89.81%,92.65%,90.60%,89.20%,91.83%
17,Hawaii,82.41%,80.30%,84.34%,62.18%,58.32%,65.89%,80.72%,77.42%,83.64%,84.68%,82.22%,86.85%,84.20%,81.93%,86.22%
18,Idaho,85.00%,83.30%,86.56%,66.98%,63.55%,70.24%,79.97%,76.71%,82.88%,88.34%,86.37%,90.06%,87.15%,85.32%,88.78%
19,Illinois,86.10%,84.91%,87.21%,64.51%,61.89%,67.05%,84.00%,81.92%,85.88%,89.00%,87.66%,90.22%,88.30%,87.06%,89.45%
20,Indiana,86.63%,85.00%,88.11%,65.84%,62.31%,69.20%,84.35%,81.41%,86.90%,89.63%,87.79%,91.22%,88.84%,87.12%,90.36%
21,Iowa,83.64%,81.68%,85.42%,62.86%,59.31%,66.28%,79.56%,76.13%,82.62%,86.85%,84.56%,88.84%,85.74%,83.65%,87.60%
22,Kansas,85.17%,83.48%,86.72%,64.65%,61.11%,68.03%,83.11%,80.10%,85.75%,88.19%,86.24%,89.90%,87.42%,85.61%,89.03%
23,Kentucky,88.12%,86.54%,89.54%,68.30%,64.88%,71.53%,84.46%,81.47%,87.05%,91.02%,89.25%,92.51%,90.10%,88.44%,91.54%
24,Louisiana,87.54%,85.95%,88.97%,66.18%,62.66%,69.52%,83.82%,80.74%,86.49%,90.74%,88.94%,92.26%,89.75%,88.07%,91.22%
25,Maine,87.04%,85.37%,88.54%,65.70%,62.26%,68.99%,84.65%,81.71%,87.19%,89.37%,87.46%,91.02%,88.81%,87.02%,90.38%
26,Maryland,86.31%,84.62%,87.84%,68.00%,64.38%,71.42%,81.96%,79.01%,84.58%,89.03%,87.09%,90.70%,88.09%,86.30%,89.67%
27,Massachusetts,85.06%,83.18%,86.76%,66.02%,62.34%,69.51%,81.07%,77.91%,83.88%,87.71%,85.56%,89.59%,86.74%,84.75%,88.50%
28,Michigan,86.39%,85.27%,87.43%,63.98%,61.38%,66.50%,83.21%,81.26%,85.00%,89.52%,88.20%,90.71%,88.61%,87.42%,89.70%
29,Minnesota,82.32%,80.29%,84.18%,61.45%,57.79%,65.00%,79.72%,76.62%,82.51%,85.18%,82.79%,87.28%,84.43%,82.26%,86.37%
30,Mississippi,87.97%,86.45%,89.34%,67.67%,64.17%,70.98%,84.57%,81.64%,87.10%,91.14%,89.46%,92.58%,90.17%,88.57%,91.56%
31,Missouri,86.92%,85.33%,88.37%,68.46%,64.97%,71.77%,83.18%,80.18%,85.81%,89.67%,87.87%,91.23%,88.76%,87.07%,90.26%
32,Montana,85.44%,83.70%,87.03%,64.59%,60.95%,68.06%,81.51%,78.55%,84.14%,88.28%,86.28%,90.02%,87.34%,85.50%,88.98%
33,Nebraska,84.02%,82.25%,85.64%,63.15%,59.65%,66.52%,79.32%,75.93%,82.34%,87.50%,85.43%,89.32%,86.26%,84.36%,87.97%
34,Nevada,84.05%,82.05%,85.87%,63.18%,59.45%,66.77%,81.30%,78.02%,84.19%,86.82%,84.52%,88.83%,86.12%,83.98%,88.02%
35,New Hampshire,86.58%,84.87%,88.12%,67.27%,63.79%,70.58%,82.08%,78.89%,84.89%,89.25%,87.34%,90.90%,88.29%,86.49%,89.88%
36,New Jersey,86.64%,85.15%,88.00%,68.23%,65.16%,71.16%,83.66%,81.01%,86.01%,89.17%,87.45%,90.67%,88.45%,86.87%,89.87%
37,New Mexico,84.96%,83.13%,86.63%,66.18%,62.73%,69.46%,81.90%,78.74%,84.67%,87.76%,85.60%,89.63%,86.92%,84.94%,88.68%
38,New York,85.22%,84.12%,86.26%,65.92%,63.65%,68.12%,82.54%,80.58%,84.34%,87.67%,86.36%,88.87%,86.95%,85.77%,88.05%
39,North Carolina,87.00%,85.68%,88.22%,64.58%,61.48%,67.56%,83.23%,80.62%,85.55%,90.22%,88.72%,91.54%,89.27%,87.86%,90.52%
40,North Dakota,84.16%,82.39%,85.78%,65.28%,61.97%,68.45%,79.74%,76.46%,82.66%,87.14%,85.09%,88.94%,85.86%,83.97%,87.57%
41,Ohio,88.80%,87.78%,89.75%,70.79%,68.37%,73.10%,86.53%,84.61%,88.25%,91.25%,90.07%,92.31%,90.60%,89.52%,91.59%
42,Oklahoma,84.64%,82.77%,86.35%,66.04%,62.36%,69.53%,83.19%,80.30%,85.73%,87.24%,85.01%,89.18%,86.64%,84.63%,88.43%
43,Oregon,81.07%,79.07%,82.92%,60.73%,57.12%,64.23%,77.33%,73.94%,80.39%,83.72%,81.40%,85.81%,82.89%,80.76%,84.82%
44,Pennsylvania,87.26%,86.13%,88.31%,67.00%,64.52%,69.39%,84.70%,82.64%,86.54%,89.79%,88.48%,90.97%,89.11%,87.90%,90.21%
45,Rhode Island,84.99%,83.17%,86.64%,63.68%,59.93%,67.27%,81.28%,77.98%,84.19%,87.84%,85.77%,89.63%,86.83%,84.91%,88.55%
46,South Carolina,87.94%,86.44%,89.30%,67.90%,64.44%,71.17%,83.81%,80.99%,86.28%,90.81%,89.09%,92.27%,89.86%,88.26%,91.26%
47,South Dakota,84.13%,82.37%,85.74%,63.21%,59.63%,66.65%,81.40%,78.30%,84.15%,87.15%,85.10%,88.94%,86.31%,84.44%,87.99%
48,Tennessee,86.71%,85.14%,88.13%,65.28%,61.71%,68.69%,82.90%,79.98%,85.47%,89.77%,87.95%,91.34%,88.83%,87.14%,90.31%
49,Texas,86.97%,86.04%,87.85%,66.87%,64.61%,69.05%,84.45%,82.62%,86.11%,90.23%,89.15%,91.22%,89.35%,88.35%,90.27%
50,Utah,83.91%,82.19%,85.49%,66.40%,62.73%,69.88%,81.75%,78.63%,84.50%,87.36%,85.37%,89.11%,86.33%,84.50%,87.97%
51,Vermont,84.69%,82.76%,86.45%,64.37%,60.79%,67.79%,80.56%,76.94%,83.73%,87.38%,85.16%,89.31%,86.37%,84.30%,88.20%
52,Virginia,85.61%,84.15%,86.96%,65.92%,62.90%,68.82%,81.02%,78.39%,83.40%,88.56%,86.87%,90.06%,87.52%,85.96%,88.93%
53,Washington,81.28%,79.19%,83.20%,60.23%,56.50%,63.84%,77.58%,74.04%,80.76%,84.13%,81.69%,86.30%,83.26%,81.02%,85.28%
54,West Virginia,89.63%,88.20%,90.90%,66.33%,62.73%,69.76%,85.50%,82.64%,87.97%,92.58%,90.98%,93.91%,91.67%,90.17%,92.96%
55,Wisconsin,85.62%,83.91%,87.18%,63.76%,60.32%,67.06%,81.11%,78.00%,83.87%,88.88%,86.92%,90.58%,87.78%,85.95%,89.41%
56,Wyoming,85.71%,84.00%,87.26%,64.45%,60.81%,67.93%,82.17%,79.18%,84.81%,88.74%,86.77%,90.45%,87.83%,86.01%,89.45%
