"Table 11. Methamphetamine Use in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2016 and 2017 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,0.56%,0.51%,0.62%,0.16%,0.12%,0.22%,0.93%,0.80%,1.08%,0.55%,0.48%,0.61%,0.60%,0.54%,0.66%
2,Northeast,0.28%,0.20%,0.40%,0.10%,0.05%,0.20%,0.47%,0.31%,0.69%,0.28%,0.19%,0.40%,0.30%,0.22%,0.42%
3,Midwest,0.51%,0.42%,0.61%,0.16%,0.10%,0.25%,0.95%,0.74%,1.21%,0.47%,0.38%,0.59%,0.54%,0.45%,0.65%
4,South,0.56%,0.47%,0.66%,0.16%,0.10%,0.25%,0.96%,0.77%,1.20%,0.54%,0.45%,0.66%,0.60%,0.51%,0.71%
5,West,0.81%,0.67%,0.98%,0.21%,0.13%,0.34%,1.20%,0.92%,1.55%,0.82%,0.66%,1.02%,0.87%,0.72%,1.05%
6,Alabama,0.78%,0.48%,1.26%,0.24%,0.11%,0.52%,1.12%,0.66%,1.89%,0.79%,0.45%,1.38%,0.83%,0.51%,1.36%
7,Alaska,0.84%,0.51%,1.38%,0.24%,0.10%,0.56%,1.10%,0.61%,1.98%,0.87%,0.49%,1.55%,0.90%,0.54%,1.49%
8,Arizona,0.66%,0.39%,1.11%,0.16%,0.07%,0.38%,1.30%,0.76%,2.21%,0.61%,0.32%,1.16%,0.71%,0.42%,1.21%
9,Arkansas,0.92%,0.57%,1.50%,0.26%,0.12%,0.57%,1.59%,0.98%,2.58%,0.90%,0.50%,1.59%,0.99%,0.61%,1.62%
10,California,0.81%,0.61%,1.07%,0.20%,0.10%,0.38%,0.96%,0.63%,1.47%,0.85%,0.61%,1.18%,0.87%,0.65%,1.16%
11,Colorado,0.85%,0.55%,1.32%,0.22%,0.11%,0.47%,1.34%,0.82%,2.19%,0.84%,0.50%,1.40%,0.91%,0.59%,1.41%
12,Connecticut,0.29%,0.15%,0.56%,0.09%,0.03%,0.26%,0.45%,0.24%,0.85%,0.29%,0.13%,0.62%,0.31%,0.16%,0.60%
13,Delaware,0.40%,0.21%,0.74%,0.18%,0.08%,0.42%,0.37%,0.18%,0.79%,0.43%,0.21%,0.85%,0.42%,0.22%,0.79%
14,District of Columbia,0.22%,0.10%,0.48%,0.07%,0.02%,0.25%,0.11%,0.03%,0.36%,0.25%,0.11%,0.57%,0.23%,0.11%,0.50%
15,Florida,0.47%,0.32%,0.70%,0.15%,0.08%,0.29%,0.75%,0.47%,1.18%,0.47%,0.29%,0.74%,0.50%,0.33%,0.75%
16,Georgia,0.54%,0.33%,0.90%,0.17%,0.08%,0.36%,0.59%,0.35%,0.99%,0.59%,0.34%,1.02%,0.59%,0.35%,0.97%
17,Hawaii,0.75%,0.45%,1.25%,0.35%,0.14%,0.90%,0.94%,0.51%,1.73%,0.77%,0.43%,1.36%,0.79%,0.47%,1.32%
18,Idaho,0.87%,0.55%,1.37%,0.33%,0.14%,0.74%,1.57%,0.97%,2.54%,0.83%,0.48%,1.43%,0.94%,0.59%,1.48%
19,Illinois,0.28%,0.16%,0.49%,0.09%,0.03%,0.22%,0.39%,0.21%,0.73%,0.28%,0.15%,0.54%,0.30%,0.17%,0.52%
20,Indiana,0.58%,0.35%,0.96%,0.19%,0.08%,0.44%,1.21%,0.75%,1.95%,0.52%,0.27%,0.98%,0.62%,0.38%,1.03%
21,Iowa,0.56%,0.34%,0.92%,0.15%,0.06%,0.34%,1.12%,0.67%,1.88%,0.50%,0.27%,0.94%,0.60%,0.36%,0.99%
22,Kansas,0.82%,0.51%,1.33%,0.20%,0.09%,0.44%,1.51%,0.94%,2.41%,0.78%,0.43%,1.41%,0.89%,0.55%,1.44%
23,Kentucky,0.94%,0.59%,1.49%,0.22%,0.10%,0.48%,1.89%,1.21%,2.93%,0.87%,0.49%,1.53%,1.01%,0.64%,1.61%
24,Louisiana,0.44%,0.25%,0.77%,0.14%,0.06%,0.33%,0.67%,0.38%,1.18%,0.44%,0.23%,0.84%,0.47%,0.27%,0.83%
25,Maine,0.42%,0.24%,0.75%,0.12%,0.04%,0.38%,1.17%,0.66%,2.07%,0.35%,0.17%,0.73%,0.45%,0.25%,0.80%
26,Maryland,0.25%,0.13%,0.50%,0.09%,0.03%,0.26%,0.32%,0.16%,0.65%,0.26%,0.12%,0.56%,0.27%,0.14%,0.53%
27,Massachusetts,0.33%,0.18%,0.63%,0.13%,0.05%,0.31%,0.33%,0.16%,0.65%,0.36%,0.17%,0.72%,0.35%,0.18%,0.67%
28,Michigan,0.41%,0.27%,0.62%,0.14%,0.07%,0.28%,0.76%,0.48%,1.19%,0.38%,0.23%,0.62%,0.44%,0.29%,0.66%
29,Minnesota,0.76%,0.47%,1.23%,0.27%,0.12%,0.61%,1.22%,0.72%,2.06%,0.74%,0.42%,1.31%,0.81%,0.50%,1.31%
30,Mississippi,0.61%,0.36%,1.03%,0.14%,0.06%,0.34%,0.95%,0.55%,1.66%,0.61%,0.32%,1.14%,0.66%,0.39%,1.12%
31,Missouri,0.88%,0.55%,1.42%,0.29%,0.13%,0.62%,1.32%,0.79%,2.21%,0.88%,0.51%,1.53%,0.94%,0.58%,1.52%
32,Montana,0.68%,0.42%,1.12%,0.17%,0.07%,0.37%,1.62%,1.00%,2.63%,0.59%,0.31%,1.11%,0.73%,0.44%,1.20%
33,Nebraska,0.52%,0.31%,0.87%,0.14%,0.06%,0.33%,1.14%,0.67%,1.91%,0.45%,0.24%,0.87%,0.56%,0.33%,0.94%
34,Nevada,0.89%,0.53%,1.49%,0.23%,0.10%,0.54%,1.87%,1.10%,3.15%,0.83%,0.44%,1.55%,0.96%,0.57%,1.60%
35,New Hampshire,0.66%,0.40%,1.07%,0.20%,0.08%,0.47%,1.31%,0.77%,2.23%,0.60%,0.33%,1.10%,0.70%,0.43%,1.14%
36,New Jersey,0.24%,0.12%,0.48%,0.08%,0.03%,0.25%,0.35%,0.17%,0.71%,0.25%,0.11%,0.53%,0.26%,0.13%,0.51%
37,New Mexico,1.19%,0.75%,1.87%,0.31%,0.13%,0.74%,2.25%,1.33%,3.76%,1.12%,0.64%,1.95%,1.28%,0.81%,2.02%
38,New York,0.20%,0.11%,0.37%,0.08%,0.03%,0.24%,0.27%,0.13%,0.56%,0.20%,0.10%,0.40%,0.21%,0.11%,0.39%
39,North Carolina,0.63%,0.40%,0.99%,0.18%,0.09%,0.38%,0.83%,0.51%,1.33%,0.65%,0.39%,1.08%,0.68%,0.43%,1.06%
40,North Dakota,0.96%,0.61%,1.51%,0.29%,0.13%,0.64%,1.81%,1.10%,2.96%,0.86%,0.48%,1.51%,1.02%,0.65%,1.61%
41,Ohio,0.36%,0.22%,0.58%,0.10%,0.04%,0.26%,0.83%,0.52%,1.35%,0.31%,0.17%,0.57%,0.39%,0.24%,0.62%
42,Oklahoma,0.77%,0.48%,1.24%,0.22%,0.10%,0.46%,1.75%,1.10%,2.76%,0.68%,0.38%,1.22%,0.84%,0.52%,1.34%
43,Oregon,1.00%,0.64%,1.54%,0.27%,0.13%,0.55%,1.80%,1.14%,2.84%,0.95%,0.56%,1.60%,1.06%,0.68%,1.65%
44,Pennsylvania,0.34%,0.22%,0.55%,0.11%,0.04%,0.25%,0.75%,0.47%,1.19%,0.31%,0.17%,0.55%,0.37%,0.23%,0.59%
45,Rhode Island,0.39%,0.21%,0.73%,0.15%,0.06%,0.35%,0.44%,0.22%,0.86%,0.40%,0.20%,0.82%,0.41%,0.22%,0.77%
46,South Carolina,0.58%,0.35%,0.96%,0.17%,0.08%,0.40%,1.10%,0.68%,1.78%,0.55%,0.30%,1.01%,0.62%,0.37%,1.03%
47,South Dakota,0.88%,0.54%,1.42%,0.30%,0.14%,0.65%,1.62%,1.00%,2.60%,0.82%,0.45%,1.49%,0.94%,0.58%,1.52%
48,Tennessee,0.55%,0.32%,0.93%,0.16%,0.07%,0.35%,1.07%,0.63%,1.80%,0.51%,0.27%,0.97%,0.58%,0.34%,1.00%
49,Texas,0.56%,0.40%,0.80%,0.13%,0.06%,0.27%,1.12%,0.75%,1.68%,0.52%,0.34%,0.81%,0.62%,0.43%,0.87%
50,Utah,0.81%,0.50%,1.29%,0.20%,0.09%,0.44%,1.38%,0.85%,2.24%,0.78%,0.44%,1.39%,0.89%,0.56%,1.43%
51,Vermont,0.49%,0.28%,0.87%,0.13%,0.05%,0.35%,1.27%,0.73%,2.20%,0.39%,0.18%,0.85%,0.53%,0.30%,0.93%
52,Virginia,0.37%,0.22%,0.63%,0.11%,0.05%,0.28%,0.69%,0.40%,1.16%,0.35%,0.19%,0.66%,0.40%,0.23%,0.68%
53,Washington,0.73%,0.45%,1.20%,0.19%,0.09%,0.41%,1.20%,0.74%,1.91%,0.72%,0.40%,1.29%,0.78%,0.48%,1.28%
54,West Virginia,0.85%,0.54%,1.34%,0.27%,0.12%,0.58%,2.02%,1.29%,3.14%,0.74%,0.42%,1.31%,0.90%,0.57%,1.43%
55,Wisconsin,0.45%,0.26%,0.76%,0.13%,0.05%,0.31%,1.08%,0.65%,1.80%,0.38%,0.20%,0.75%,0.48%,0.28%,0.82%
56,Wyoming,0.81%,0.51%,1.28%,0.23%,0.11%,0.49%,1.58%,0.97%,2.55%,0.75%,0.43%,1.32%,0.86%,0.54%,1.38%
