"Table 12. Pain Reliever Misuse in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2016 and 2017 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one's own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription psychotherapeutics do not include over-the-counter drugs.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,4.17%,4.03%,4.32%,3.31%,3.08%,3.55%,7.13%,6.77%,7.51%,3.79%,3.63%,3.96%,4.26%,4.10%,4.42%
2,Northeast,3.77%,3.49%,4.07%,2.63%,2.25%,3.07%,6.62%,6.03%,7.27%,3.44%,3.12%,3.79%,3.88%,3.58%,4.20%
3,Midwest,4.26%,4.02%,4.50%,3.38%,3.04%,3.75%,7.44%,6.92%,8.00%,3.83%,3.56%,4.13%,4.35%,4.09%,4.61%
4,South,4.12%,3.91%,4.34%,3.40%,3.08%,3.75%,7.16%,6.71%,7.64%,3.72%,3.47%,3.98%,4.19%,3.97%,4.43%
5,West,4.48%,4.18%,4.81%,3.56%,3.12%,4.06%,7.20%,6.56%,7.89%,4.14%,3.78%,4.53%,4.58%,4.25%,4.93%
6,Alabama,4.53%,3.81%,5.37%,4.24%,3.13%,5.72%,8.11%,6.57%,9.98%,3.98%,3.18%,4.97%,4.56%,3.80%,5.45%
7,Alaska,4.81%,4.03%,5.73%,3.65%,2.70%,4.92%,8.02%,6.42%,9.97%,4.42%,3.53%,5.53%,4.94%,4.10%,5.93%
8,Arizona,4.27%,3.52%,5.18%,3.41%,2.49%,4.65%,7.44%,5.98%,9.22%,3.85%,2.99%,4.95%,4.36%,3.55%,5.34%
9,Arkansas,5.03%,4.21%,6.01%,4.11%,3.03%,5.54%,7.44%,5.95%,9.27%,4.75%,3.80%,5.93%,5.13%,4.26%,6.18%
10,California,4.30%,3.86%,4.79%,3.61%,2.97%,4.37%,6.77%,5.83%,7.86%,3.97%,3.45%,4.55%,4.37%,3.90%,4.90%
11,Colorado,4.87%,4.07%,5.83%,3.86%,2.81%,5.27%,8.36%,6.71%,10.38%,4.43%,3.51%,5.56%,4.98%,4.13%,5.99%
12,Connecticut,4.21%,3.49%,5.08%,3.23%,2.38%,4.38%,7.52%,6.02%,9.36%,3.79%,2.96%,4.83%,4.31%,3.54%,5.24%
13,Delaware,4.23%,3.50%,5.10%,2.89%,2.10%,3.96%,6.90%,5.49%,8.65%,3.98%,3.15%,5.00%,4.35%,3.58%,5.28%
14,District of Columbia,4.39%,3.61%,5.32%,3.91%,2.75%,5.54%,6.86%,5.44%,8.61%,3.94%,3.08%,5.03%,4.42%,3.62%,5.38%
15,Florida,4.18%,3.66%,4.78%,3.44%,2.80%,4.23%,6.58%,5.61%,7.71%,3.93%,3.32%,4.64%,4.25%,3.69%,4.89%
16,Georgia,3.61%,3.02%,4.31%,2.74%,1.97%,3.78%,6.47%,5.20%,8.02%,3.24%,2.57%,4.08%,3.71%,3.08%,4.46%
17,Hawaii,3.32%,2.70%,4.08%,2.66%,1.87%,3.77%,6.27%,4.93%,7.94%,2.99%,2.29%,3.88%,3.38%,2.72%,4.19%
18,Idaho,4.25%,3.54%,5.09%,3.45%,2.56%,4.64%,7.20%,5.80%,8.92%,3.87%,3.05%,4.90%,4.34%,3.58%,5.26%
19,Illinois,3.70%,3.22%,4.24%,3.24%,2.54%,4.11%,7.12%,5.99%,8.44%,3.20%,2.65%,3.85%,3.74%,3.23%,4.33%
20,Indiana,4.83%,4.06%,5.72%,3.69%,2.69%,5.04%,8.82%,7.13%,10.86%,4.27%,3.40%,5.35%,4.95%,4.14%,5.91%
21,Iowa,4.19%,3.48%,5.05%,3.17%,2.34%,4.29%,7.55%,6.07%,9.34%,3.72%,2.91%,4.74%,4.30%,3.54%,5.22%
