"Table 13. Alcohol Use in the Past Month, by Age Group and State: Percentages, Annual Averages Based on 2016 and 2017 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,51.21%,50.75%,51.67%,9.54%,9.12%,9.98%,56.74%,55.91%,57.58%,55.22%,54.66%,55.78%,55.43%,54.93%,55.94%
2,Northeast,56.44%,55.53%,57.35%,10.64%,9.87%,11.47%,63.24%,61.41%,65.04%,60.30%,59.21%,61.38%,60.71%,59.71%,61.69%
3,Midwest,54.36%,53.55%,55.17%,10.09%,9.47%,10.75%,60.78%,59.15%,62.38%,58.62%,57.65%,59.58%,58.92%,58.04%,59.81%
4,South,47.13%,46.46%,47.79%,9.05%,8.52%,9.60%,52.87%,51.30%,54.43%,50.79%,50.00%,51.57%,51.07%,50.34%,51.81%
5,West,50.99%,50.16%,51.82%,9.08%,8.43%,9.77%,54.43%,52.66%,56.20%,55.43%,54.43%,56.42%,55.29%,54.37%,56.20%
6,Alabama,41.98%,39.36%,44.64%,8.88%,7.23%,10.87%,50.18%,46.18%,54.17%,44.56%,41.35%,47.81%,45.34%,42.47%,48.25%
7,Alaska,51.61%,48.83%,54.39%,10.10%,8.30%,12.24%,55.68%,51.35%,59.94%,56.35%,52.94%,59.70%,56.25%,53.17%,59.28%
8,Arizona,50.40%,47.39%,53.40%,8.26%,6.71%,10.13%,52.61%,48.38%,56.81%,55.20%,51.52%,58.83%,54.83%,51.50%,58.11%
9,Arkansas,39.89%,37.15%,42.70%,8.92%,7.29%,10.87%,48.15%,44.10%,52.23%,42.35%,39.00%,45.77%,43.17%,40.15%,46.23%
10,California,50.45%,49.20%,51.71%,8.95%,7.92%,10.10%,53.66%,51.20%,56.10%,54.85%,53.31%,56.39%,54.68%,53.30%,56.05%
11,Colorado,59.48%,56.77%,62.13%,9.75%,7.98%,11.86%,62.66%,58.62%,66.54%,64.79%,61.47%,67.98%,64.49%,61.52%,67.36%
12,Connecticut,60.21%,57.20%,63.15%,11.42%,9.47%,13.71%,67.03%,63.00%,70.83%,64.73%,61.04%,68.25%,65.05%,61.74%,68.22%
13,Delaware,51.38%,48.45%,54.29%,8.38%,6.76%,10.35%,54.78%,50.72%,58.78%,55.51%,51.95%,59.02%,55.42%,52.22%,58.59%
14,District of Columbia,66.79%,64.05%,69.43%,8.42%,6.74%,10.48%,69.71%,65.55%,73.57%,70.17%,66.88%,73.26%,70.08%,67.17%,72.84%
15,Florida,51.80%,50.13%,53.47%,9.86%,8.67%,11.20%,56.43%,53.72%,59.10%,55.30%,53.30%,57.27%,55.44%,53.64%,57.24%
