"Table 14. Binge Alcohol Use in the Past Month, by Age Group and State: Percentages, Annual Averages Based on 2016 and 2017 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Binge Alcohol Use is defined as drinking five or more drinks (for males) or four or more drinks (for females) on the same occasion (i.e., at the same time or within a couple of hours of each other) on at least 1 day in the past 30 days.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,24.37%,23.99%,24.75%,5.06%,4.76%,5.39%,37.62%,36.83%,38.41%,24.49%,24.03%,24.94%,26.33%,25.91%,26.74%
2,Northeast,26.45%,25.65%,27.26%,5.83%,5.31%,6.39%,43.73%,42.12%,45.35%,25.92%,24.96%,26.90%,28.36%,27.50%,29.24%
3,Midwest,26.42%,25.74%,27.12%,5.59%,5.16%,6.05%,41.48%,40.06%,42.91%,26.43%,25.60%,27.28%,28.57%,27.83%,29.33%
4,South,22.81%,22.26%,23.36%,4.60%,4.24%,5.00%,34.00%,32.76%,35.26%,23.19%,22.52%,23.88%,24.69%,24.09%,25.30%
5,West,23.47%,22.78%,24.18%,4.82%,4.37%,5.32%,35.35%,33.81%,36.91%,23.73%,22.90%,24.59%,25.39%,24.62%,26.16%
6,Alabama,21.40%,19.28%,23.69%,4.43%,3.41%,5.72%,31.46%,28.04%,35.10%,21.78%,19.27%,24.51%,23.13%,20.81%,25.62%
7,Alaska,24.20%,21.96%,26.59%,5.08%,3.95%,6.52%,35.75%,32.01%,39.67%,24.75%,22.11%,27.59%,26.33%,23.87%,28.95%
8,Arizona,23.10%,20.77%,25.62%,4.66%,3.62%,5.97%,33.39%,29.63%,37.37%,23.66%,20.91%,26.64%,25.04%,22.48%,27.79%
9,Arkansas,19.49%,17.45%,21.70%,4.59%,3.53%,5.95%,31.55%,28.03%,35.30%,19.34%,16.93%,22.00%,21.06%,18.84%,23.48%
10,California,23.52%,22.45%,24.62%,4.62%,3.93%,5.42%,34.99%,32.79%,37.26%,23.82%,22.53%,25.17%,25.44%,24.27%,26.64%
11,Colorado,26.97%,24.66%,29.41%,5.59%,4.40%,7.08%,40.44%,36.30%,44.72%,27.28%,24.59%,30.15%,29.12%,26.60%,31.78%
12,Connecticut,28.30%,25.78%,30.96%,6.38%,4.97%,8.16%,47.02%,42.86%,51.23%,27.78%,24.81%,30.96%,30.47%,27.73%,33.36%
13,Delaware,22.51%,20.25%,24.95%,4.30%,3.30%,5.59%,37.87%,34.00%,41.91%,22.19%,19.57%,25.06%,24.23%,21.78%,26.86%
14,District of Columbia,37.01%,34.20%,39.92%,4.84%,3.61%,6.44%,53.01%,48.62%,57.35%,36.07%,32.76%,39.51%,38.83%,35.87%,41.87%
15,Florida,24.66%,23.23%,26.15%,5.11%,4.31%,6.05%,35.56%,33.17%,38.03%,25.09%,23.40%,26.86%,26.36%,24.81%,27.96%
16,Georgia,20.61%,18.87%,22.47%,3.52%,2.71%,4.57%,31.39%,28.38%,34.57%,21.05%,18.97%,23.28%,22.54%,20.62%,24.57%
17,Hawaii,20.44%,18.26%,22.80%,4.42%,3.31%,5.87%,34.09%,30.39%,38.00%,20.19%,17.69%,22.95%,21.88%,19.53%,24.42%
18,Idaho,21.70%,19.61%,23.95%,5.07%,3.95%,6.47%,32.82%,29.15%,36.71%,22.20%,19.69%,24.93%,23.71%,21.41%,26.19%
19,Illinois,27.53%,25.96%,29.16%,5.72%,4.78%,6.83%,42.92%,40.16%,45.71%,27.67%,25.77%,29.65%,29.80%,28.07%,31.58%
20,Indiana,23.06%,20.82%,25.45%,5.09%,3.95%,6.53%,38.24%,34.27%,42.36%,22.69%,20.03%,25.58%,25.00%,22.54%,27.62%
21,Iowa,29.66%,27.20%,32.24%,5.90%,4.61%,7.51%,46.38%,42.38%,50.42%,29.56%,26.62%,32.68%,32.10%,29.41%,34.92%
22,Kansas,26.13%,23.84%,28.57%,6.36%,5.04%,8.01%,39.68%,35.80%,43.70%,26.30%,23.54%,29.27%,28.33%,25.81%,31.00%
23,Kentucky,21.79%,19.64%,24.09%,5.95%,4.61%,7.65%,33.83%,30.16%,37.71%,21.70%,19.18%,24.45%,23.39%,21.07%,25.89%
24,Louisiana,26.72%,24.45%,29.11%,5.21%,4.04%,6.70%,35.73%,31.96%,39.68%,27.87%,25.17%,30.74%,28.98%,26.50%,31.60%
25,Maine,23.53%,21.15%,26.09%,5.94%,4.72%,7.46%,40.11%,36.22%,44.13%,22.99%,20.27%,25.96%,25.02%,22.45%,27.77%
26,Maryland,23.77%,21.59%,26.09%,4.63%,3.57%,5.97%,39.58%,35.74%,43.56%,23.53%,20.96%,26.30%,25.66%,23.29%,28.19%
27,Massachusetts,31.50%,28.91%,34.21%,7.43%,5.80%,9.48%,50.76%,46.62%,54.89%,30.73%,27.66%,33.98%,33.67%,30.87%,36.58%
28,Michigan,25.16%,23.66%,26.72%,5.46%,4.54%,6.56%,39.18%,36.46%,41.97%,25.12%,23.33%,26.99%,27.14%,25.51%,28.83%
29,Minnesota,26.32%,24.00%,28.78%,5.14%,4.00%,6.57%,44.81%,40.82%,48.88%,25.91%,23.17%,28.87%,28.50%,25.96%,31.18%
30,Mississippi,20.62%,18.42%,23.01%,3.73%,2.82%,4.92%,25.76%,22.40%,29.43%,21.91%,19.27%,24.81%,22.48%,20.05%,25.10%
