"Table 17. Tobacco Product Use in the Past Month, by Age Group and State: Percentages, Annual Averages Based on 2016 and 2017 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Tobacco Products include cigarettes, smokeless tobacco (i.e., snuff, dip, chewing tobacco, or ""snus""), cigars, or pipe tobacco.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given. ",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,22.99%,22.61%,23.37%,5.10%,4.81%,5.40%,29.52%,28.82%,30.23%,24.04%,23.59%,24.49%,24.80%,24.39%,25.22%
2,Northeast,21.91%,21.18%,22.65%,4.59%,4.13%,5.10%,29.91%,28.69%,31.16%,22.50%,21.62%,23.40%,23.52%,22.73%,24.32%
3,Midwest,25.69%,25.03%,26.37%,5.91%,5.45%,6.41%,32.75%,31.71%,33.81%,26.90%,26.08%,27.74%,27.73%,27.01%,28.47%
4,South,24.66%,24.10%,25.24%,5.46%,5.06%,5.90%,30.60%,29.70%,31.52%,26.02%,25.32%,26.73%,26.65%,26.04%,27.28%
5,West,18.74%,18.08%,19.42%,4.12%,3.67%,4.63%,24.68%,23.51%,25.90%,19.50%,18.70%,20.33%,20.24%,19.52%,20.98%
6,Alabama,30.12%,27.77%,32.58%,7.90%,6.33%,9.81%,35.28%,31.59%,39.16%,31.91%,29.07%,34.89%,32.38%,29.80%,35.07%
7,Alaska,26.68%,24.41%,29.07%,8.69%,6.88%,10.90%,34.77%,31.04%,38.70%,27.67%,24.91%,30.60%,28.69%,26.19%,31.32%
8,Arizona,21.19%,19.03%,23.53%,3.60%,2.74%,4.74%,27.99%,24.34%,31.95%,22.22%,19.67%,25.00%,23.04%,20.67%,25.60%
9,Arkansas,30.69%,28.20%,33.29%,7.52%,6.03%,9.34%,33.90%,30.19%,37.83%,33.01%,30.01%,36.17%,33.14%,30.41%,35.98%
10,California,16.23%,15.28%,17.23%,3.45%,2.83%,4.20%,20.56%,18.79%,22.45%,17.02%,15.87%,18.24%,17.53%,16.50%,18.62%
11,Colorado,20.15%,18.25%,22.19%,4.66%,3.60%,6.02%,32.03%,28.30%,36.00%,20.03%,17.82%,22.44%,21.71%,19.64%,23.94%
12,Connecticut,21.24%,19.10%,23.56%,4.13%,3.18%,5.35%,31.68%,28.01%,35.59%,21.52%,18.98%,24.30%,22.94%,20.59%,25.47%
13,Delaware,21.77%,19.66%,24.04%,4.02%,3.09%,5.20%,27.74%,24.27%,31.50%,22.80%,20.32%,25.48%,23.44%,21.14%,25.90%
14,District of Columbia,23.55%,21.20%,26.07%,3.71%,2.73%,5.01%,28.77%,25.08%,32.76%,23.86%,21.17%,26.79%,24.66%,22.19%,27.31%
