"Table 18. Cigarette Use in the Past Month, by Age Group and State: Percentages, Annual Averages Based on 2016 and 2017 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,18.47%,18.11%,18.84%,3.29%,3.06%,3.55%,22.90%,22.26%,23.56%,19.54%,19.10%,19.98%,20.01%,19.61%,20.41%
2,Northeast,17.54%,16.84%,18.26%,2.94%,2.61%,3.31%,22.38%,21.16%,23.65%,18.34%,17.48%,19.23%,18.90%,18.14%,19.68%
3,Midwest,20.61%,20.00%,21.25%,4.04%,3.67%,4.44%,25.03%,23.94%,26.15%,21.88%,21.10%,22.67%,22.32%,21.65%,23.02%
4,South,19.78%,19.26%,20.32%,3.44%,3.15%,3.76%,23.74%,22.79%,24.71%,21.11%,20.44%,21.80%,21.48%,20.90%,22.06%
5,West,15.18%,14.60%,15.77%,2.63%,2.32%,2.99%,20.10%,18.91%,21.34%,15.86%,15.13%,16.62%,16.46%,15.83%,17.12%
6,Alabama,23.46%,21.41%,25.65%,4.80%,3.74%,6.14%,25.60%,22.38%,29.11%,25.32%,22.82%,28.00%,25.36%,23.11%,27.75%
7,Alaska,19.65%,17.76%,21.69%,5.98%,4.67%,7.62%,27.57%,23.96%,31.51%,20.11%,17.87%,22.54%,21.18%,19.10%,23.41%
8,Arizona,16.92%,15.05%,18.97%,2.33%,1.73%,3.14%,21.92%,18.50%,25.77%,17.88%,15.65%,20.34%,18.45%,16.39%,20.71%
9,Arkansas,24.65%,22.42%,27.02%,4.86%,3.81%,6.17%,27.38%,23.87%,31.19%,26.64%,23.92%,29.55%,26.74%,24.29%,29.34%
10,California,13.34%,12.50%,14.23%,2.08%,1.67%,2.60%,17.04%,15.29%,18.95%,14.06%,13.02%,15.17%,14.49%,13.57%,15.46%
11,Colorado,15.82%,14.10%,17.71%,3.22%,2.44%,4.25%,25.51%,21.91%,29.49%,15.72%,13.72%,17.96%,17.09%,15.21%,19.15%
12,Connecticut,16.84%,14.97%,18.89%,2.49%,1.86%,3.32%,23.71%,20.31%,27.48%,17.38%,15.16%,19.85%,18.27%,16.22%,20.51%
13,Delaware,18.36%,16.42%,20.47%,2.56%,1.94%,3.37%,21.69%,18.56%,25.19%,19.56%,17.27%,22.08%,19.84%,17.73%,22.14%
14,District of Columbia,18.70%,16.69%,20.89%,1.78%,1.27%,2.48%,22.42%,19.01%,26.23%,19.12%,16.80%,21.68%,19.65%,17.53%,21.95%
15,Florida,16.68%,15.50%,17.93%,2.76%,2.23%,3.41%,19.08%,17.11%,21.21%,17.72%,16.31%,19.22%,17.89%,16.61%,19.24%
16,Georgia,18.90%,17.31%,20.60%,3.43%,2.69%,4.37%,23.29%,20.52%,26.32%,20.20%,18.24%,22.30%,20.64%,18.88%,22.52%
17,Hawaii,13.62%,12.03%,15.38%,2.63%,1.93%,3.57%,22.95%,19.43%,26.90%,13.45%,11.62%,15.53%,14.61%,12.88%,16.51%
18,Idaho,18.24%,16.41%,20.22%,4.35%,3.35%,5.65%,27.15%,23.54%,31.08%,18.72%,16.53%,21.12%,19.92%,17.89%,22.12%
19,Illinois,18.19%,16.86%,19.59%,3.13%,2.52%,3.88%,23.57%,21.30%,26.00%,19.13%,17.51%,20.86%,19.75%,18.30%,21.29%
20,Indiana,21.37%,19.27%,23.63%,4.55%,3.50%,5.91%,24.26%,20.94%,27.91%,23.00%,20.42%,25.80%,23.18%,20.87%,25.67%
21,Iowa,20.97%,18.96%,23.13%,3.70%,2.83%,4.84%,28.58%,25.02%,32.43%,21.71%,19.30%,24.34%,22.75%,20.55%,25.11%
22,Kansas,19.68%,17.75%,21.77%,3.43%,2.62%,4.48%,23.90%,20.59%,27.55%,21.06%,18.72%,23.62%,21.49%,19.35%,23.79%
23,Kentucky,26.66%,24.42%,29.02%,5.88%,4.65%,7.41%,31.46%,27.65%,35.54%,28.33%,25.67%,31.15%,28.77%,26.32%,31.35%
24,Louisiana,23.92%,21.89%,26.07%,4.36%,3.40%,5.59%,27.11%,23.54%,31.01%,25.79%,23.35%,28.40%,25.98%,23.75%,28.34%
25,Maine,20.16%,18.09%,22.41%,6.17%,4.89%,7.76%,27.60%,24.14%,31.35%,20.50%,18.09%,23.15%,21.35%,19.11%,23.77%
26,Maryland,15.70%,13.98%,17.59%,2.68%,2.03%,3.52%,19.79%,16.79%,23.17%,16.56%,14.51%,18.83%,16.99%,15.10%,19.05%
27,Massachusetts,16.57%,14.72%,18.60%,2.66%,2.01%,3.51%,21.12%,17.96%,24.68%,17.25%,15.04%,19.70%,17.82%,15.81%,20.02%
28,Michigan,21.63%,20.22%,23.12%,3.68%,3.00%,4.52%,23.56%,21.36%,25.90%,23.42%,21.66%,25.28%,23.44%,21.90%,25.06%
29,Minnesota,18.26%,16.48%,20.17%,3.82%,2.93%,4.96%,25.90%,22.50%,29.63%,18.76%,16.62%,21.11%,19.74%,17.80%,21.84%
30,Mississippi,24.55%,22.44%,26.78%,4.71%,3.66%,6.04%,26.43%,22.96%,30.22%,26.79%,24.18%,29.56%,26.73%,24.40%,29.20%
31,Missouri,21.33%,19.37%,23.44%,5.20%,4.06%,6.62%,24.06%,20.65%,27.84%,22.79%,20.42%,25.36%,22.97%,20.82%,25.27%
32,Montana,20.53%,18.62%,22.60%,6.03%,4.75%,7.62%,28.45%,24.94%,32.23%,20.83%,18.57%,23.29%,21.88%,19.81%,24.11%
33,Nebraska,20.81%,18.85%,22.92%,3.68%,2.84%,4.75%,26.25%,22.82%,29.99%,22.05%,19.70%,24.60%,22.69%,20.53%,25.00%
34,Nevada,19.54%,17.51%,21.74%,2.78%,2.08%,3.71%,22.33%,18.88%,26.20%,21.06%,18.63%,23.71%,21.22%,19.00%,23.63%
35,New Hampshire,17.68%,15.75%,19.80%,4.87%,3.80%,6.21%,25.55%,22.14%,29.29%,17.80%,15.54%,20.31%,18.84%,16.75%,21.12%
36,New Jersey,16.67%,15.09%,18.39%,2.50%,1.90%,3.29%,24.00%,20.99%,27.28%,17.21%,15.34%,19.26%,18.09%,16.36%,19.97%
37,New Mexico,20.06%,18.04%,22.25%,2.74%,2.00%,3.74%,25.33%,21.73%,29.31%,21.34%,18.92%,23.99%,21.91%,19.68%,24.31%
38,New York,16.16%,15.07%,17.31%,2.41%,1.94%,2.99%,19.30%,17.32%,21.45%,17.10%,15.78%,18.52%,17.41%,16.23%,18.66%
39,North Carolina,20.08%,18.48%,21.79%,3.45%,2.74%,4.33%,25.55%,22.74%,28.58%,21.19%,19.25%,23.28%,21.79%,20.03%,23.65%
40,North Dakota,20.23%,18.27%,22.34%,5.22%,4.11%,6.62%,25.49%,22.13%,29.17%,20.82%,18.45%,23.41%,21.61%,19.48%,23.91%
41,Ohio,22.89%,21.46%,24.39%,4.71%,3.88%,5.69%,28.04%,25.56%,30.65%,24.22%,22.48%,26.05%,24.74%,23.18%,26.38%
42,Oklahoma,22.91%,20.82%,25.14%,4.36%,3.40%,5.57%,26.63%,23.12%,30.46%,24.66%,22.13%,27.37%,24.94%,22.64%,27.40%
43,Oregon,18.69%,16.84%,20.68%,3.74%,2.88%,4.83%,26.59%,23.23%,30.25%,19.06%,16.89%,21.45%,20.05%,18.05%,22.21%
44,Pennsylvania,20.55%,19.14%,22.03%,3.71%,3.03%,4.54%,25.32%,22.99%,27.79%,21.61%,19.92%,23.41%,22.11%,20.58%,23.72%
45,Rhode Island,17.66%,15.74%,19.76%,2.97%,2.26%,3.91%,21.15%,17.88%,24.84%,18.56%,16.26%,21.12%,18.95%,16.87%,21.23%
46,South Carolina,21.85%,19.90%,23.94%,4.42%,3.45%,5.64%,25.15%,21.98%,28.61%,23.31%,20.95%,25.84%,23.56%,21.43%,25.83%
47,South Dakota,22.56%,20.53%,24.73%,6.48%,5.11%,8.19%,29.34%,25.59%,33.39%,23.40%,20.95%,26.05%,24.26%,22.04%,26.63%
48,Tennessee,23.40%,21.40%,25.52%,4.72%,3.70%,6.02%,27.56%,23.96%,31.48%,24.91%,22.50%,27.48%,25.27%,23.09%,27.58%
49,Texas,18.33%,17.24%,19.48%,2.41%,1.93%,3.00%,22.38%,20.39%,24.50%,19.87%,18.50%,21.32%,20.25%,19.02%,21.53%
50,Utah,13.34%,11.86%,14.97%,2.66%,1.93%,3.67%,17.78%,14.76%,21.27%,14.20%,12.36%,16.25%,14.84%,13.17%,16.68%
51,Vermont,20.55%,18.46%,22.80%,5.75%,4.49%,7.35%,33.38%,28.91%,38.17%,19.77%,17.37%,22.42%,21.79%,19.55%,24.21%
52,Virginia,17.02%,15.57%,18.58%,3.36%,2.63%,4.30%,23.78%,21.22%,26.56%,17.50%,15.78%,19.37%,18.37%,16.79%,20.06%
53,Washington,16.50%,14.75%,18.42%,3.40%,2.64%,4.38%,21.96%,18.81%,25.49%,17.11%,15.06%,19.37%,17.76%,15.84%,19.84%
54,West Virginia,29.93%,27.46%,32.52%,6.42%,4.99%,8.24%,33.51%,29.70%,37.56%,31.81%,28.85%,34.91%,32.03%,29.35%,34.82%
55,Wisconsin,20.23%,18.20%,22.43%,3.85%,2.98%,4.97%,23.46%,20.14%,27.15%,21.61%,19.15%,24.30%,21.88%,19.65%,24.28%
56,Wyoming,19.95%,18.03%,22.02%,4.48%,3.45%,5.81%,29.28%,25.53%,33.34%,20.29%,18.01%,22.78%,21.52%,19.42%,23.79%
