"Table 20. Illicit Drug Use Disorder in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2016 and 2017 NSDUHs  ",,,,,,,,,,,,,,,,
NOTE: Illicit Drug Use Disorder is defined as meeting criteria for illicit drug dependence or abuse. Dependence or abuse is based on definitions found in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV).,,,,,,,,,,,,,,,,
"NOTE: Illicit Drug Use includes the misuse of prescription psychotherapeutics or the use of marijuana, cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine. Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one's own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription psychotherapeutics do not include over-the-counter drugs.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,2.76%,2.65%,2.87%,3.07%,2.85%,3.31%,7.17%,6.80%,7.56%,2.00%,1.88%,2.12%,2.72%,2.61%,2.84%
2,Northeast,2.79%,2.56%,3.03%,2.84%,2.51%,3.21%,7.67%,7.01%,8.38%,2.00%,1.77%,2.27%,2.78%,2.55%,3.04%
3,Midwest,2.62%,2.43%,2.83%,2.86%,2.55%,3.21%,6.62%,6.07%,7.21%,1.93%,1.72%,2.16%,2.60%,2.39%,2.81%
4,South,2.62%,2.46%,2.79%,2.88%,2.61%,3.17%,6.99%,6.52%,7.50%,1.89%,1.72%,2.08%,2.60%,2.43%,2.78%
5,West,3.07%,2.83%,3.33%,3.73%,3.28%,4.24%,7.58%,6.88%,8.34%,2.24%,1.98%,2.53%,3.00%,2.74%,3.28%
6,Alabama,2.86%,2.29%,3.57%,2.73%,2.02%,3.67%,7.25%,5.58%,9.36%,2.16%,1.59%,2.93%,2.87%,2.27%,3.63%
7,Alaska,3.69%,2.98%,4.57%,4.55%,3.41%,6.04%,7.88%,6.08%,10.14%,2.88%,2.14%,3.86%,3.60%,2.86%,4.53%
8,Arizona,2.79%,2.22%,3.49%,3.52%,2.64%,4.67%,7.07%,5.35%,9.30%,1.98%,1.44%,2.72%,2.71%,2.12%,3.45%
9,Arkansas,2.80%,2.22%,3.51%,3.12%,2.34%,4.13%,6.01%,4.53%,7.92%,2.23%,1.64%,3.03%,2.76%,2.16%,3.53%
10,California,2.97%,2.62%,3.37%,3.73%,3.07%,4.52%,7.27%,6.23%,8.48%,2.15%,1.78%,2.59%,2.89%,2.52%,3.31%
11,Colorado,3.43%,2.78%,4.23%,3.88%,2.93%,5.13%,9.66%,7.53%,12.31%,2.37%,1.76%,3.18%,3.39%,2.71%,4.22%
12,Connecticut,3.47%,2.80%,4.29%,3.48%,2.56%,4.71%,10.16%,7.98%,12.86%,2.38%,1.74%,3.26%,3.47%,2.77%,4.34%
13,Delaware,3.35%,2.67%,4.18%,3.46%,2.58%,4.63%,8.38%,6.55%,10.67%,2.58%,1.90%,3.51%,3.33%,2.63%,4.22%
14,District of Columbia,3.93%,3.15%,4.88%,3.68%,2.76%,4.91%,8.36%,6.43%,10.79%,3.08%,2.31%,4.10%,3.94%,3.14%,4.93%
15,Florida,2.71%,2.34%,3.13%,3.62%,2.97%,4.39%,7.19%,6.09%,8.49%,2.01%,1.63%,2.47%,2.63%,2.25%,3.08%
16,Georgia,2.39%,1.95%,2.93%,2.43%,1.83%,3.23%,6.06%,4.74%,7.72%,1.77%,1.32%,2.36%,2.39%,1.92%,2.97%
17,Hawaii,2.31%,1.81%,2.94%,2.89%,2.12%,3.92%,6.57%,5.00%,8.58%,1.67%,1.17%,2.36%,2.26%,1.74%,2.92%
18,Idaho,2.63%,2.10%,3.28%,3.10%,2.33%,4.12%,5.94%,4.45%,7.88%,2.01%,1.48%,2.72%,2.57%,2.01%,3.27%
19,Illinois,2.59%,2.19%,3.07%,2.94%,2.33%,3.70%,6.81%,5.60%,8.27%,1.87%,1.45%,2.40%,2.56%,2.13%,3.07%
20,Indiana,2.48%,1.97%,3.12%,2.52%,1.85%,3.43%,6.22%,4.74%,8.13%,1.82%,1.32%,2.49%,2.47%,1.94%,3.15%
21,Iowa,2.35%,1.87%,2.96%,2.76%,2.02%,3.75%,6.27%,4.77%,8.20%,1.60%,1.16%,2.21%,2.31%,1.81%,2.94%
22,Kansas,2.31%,1.79%,2.97%,2.43%,1.76%,3.35%,5.67%,4.25%,7.54%,1.69%,1.19%,2.40%,2.29%,1.75%,3.00%
23,Kentucky,2.82%,2.27%,3.49%,2.92%,2.18%,3.89%,7.38%,5.72%,9.48%,2.07%,1.54%,2.77%,2.81%,2.24%,3.52%
24,Louisiana,2.67%,2.11%,3.38%,2.42%,1.78%,3.28%,6.63%,5.03%,8.70%,2.05%,1.50%,2.81%,2.70%,2.11%,3.45%
25,Maine,3.03%,2.42%,3.80%,3.55%,2.66%,4.71%,8.00%,6.23%,10.22%,2.32%,1.71%,3.15%,2.99%,2.35%,3.79%
26,Maryland,2.79%,2.24%,3.47%,2.73%,2.03%,3.65%,8.01%,6.26%,10.19%,1.99%,1.45%,2.73%,2.79%,2.21%,3.52%
27,Massachusetts,3.22%,2.57%,4.02%,3.13%,2.34%,4.16%,8.33%,6.46%,10.67%,2.34%,1.72%,3.19%,3.22%,2.55%,4.07%
28,Michigan,2.96%,2.52%,3.47%,2.91%,2.32%,3.63%,7.16%,5.95%,8.59%,2.26%,1.80%,2.84%,2.97%,2.50%,3.51%
29,Minnesota,2.36%,1.87%,2.96%,3.10%,2.30%,4.16%,5.99%,4.54%,7.85%,1.69%,1.21%,2.35%,2.28%,1.77%,2.93%
30,Mississippi,2.73%,2.18%,3.42%,2.88%,2.17%,3.81%,6.54%,4.99%,8.54%,2.05%,1.50%,2.79%,2.71%,2.13%,3.45%
31,Missouri,2.54%,2.02%,3.19%,2.66%,1.97%,3.56%,6.20%,4.66%,8.21%,1.93%,1.41%,2.63%,2.53%,1.98%,3.22%
32,Montana,3.11%,2.53%,3.82%,3.93%,2.95%,5.22%,8.10%,6.33%,10.32%,2.22%,1.65%,2.99%,3.03%,2.43%,3.78%
33,Nebraska,2.54%,2.01%,3.21%,2.71%,2.03%,3.62%,6.95%,5.33%,9.01%,1.73%,1.24%,2.41%,2.52%,1.96%,3.23%
34,Nevada,3.48%,2.80%,4.33%,4.17%,3.12%,5.56%,9.48%,7.31%,12.22%,2.53%,1.86%,3.44%,3.41%,2.70%,4.31%
35,New Hampshire,3.15%,2.56%,3.89%,3.44%,2.57%,4.57%,9.57%,7.51%,12.10%,2.13%,1.57%,2.90%,3.13%,2.50%,3.90%
36,New Jersey,2.28%,1.85%,2.80%,2.46%,1.86%,3.25%,6.80%,5.36%,8.60%,1.58%,1.17%,2.13%,2.26%,1.81%,2.81%
37,New Mexico,3.17%,2.55%,3.93%,4.11%,3.06%,5.50%,8.41%,6.48%,10.83%,2.18%,1.58%,3.01%,3.07%,2.42%,3.87%
38,New York,2.73%,2.36%,3.17%,2.87%,2.34%,3.53%,7.67%,6.52%,8.99%,1.92%,1.53%,2.40%,2.72%,2.32%,3.18%
39,North Carolina,2.72%,2.25%,3.29%,2.99%,2.30%,3.89%,7.49%,6.01%,9.29%,1.94%,1.47%,2.56%,2.69%,2.20%,3.29%
40,North Dakota,2.52%,1.96%,3.24%,2.93%,2.13%,4.01%,5.65%,4.22%,7.52%,1.82%,1.27%,2.62%,2.48%,1.89%,3.24%
41,Ohio,2.97%,2.56%,3.44%,3.10%,2.49%,3.86%,7.51%,6.28%,8.97%,2.23%,1.80%,2.77%,2.96%,2.52%,3.46%
42,Oklahoma,2.77%,2.16%,3.55%,3.09%,2.24%,4.25%,6.94%,5.26%,9.12%,2.01%,1.41%,2.87%,2.74%,2.10%,3.56%
43,Oregon,3.32%,2.68%,4.12%,3.96%,3.02%,5.17%,7.85%,6.08%,10.08%,2.58%,1.92%,3.46%,3.27%,2.59%,4.11%
