"Table 21. Pain Reliever Use Disorder in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2016 and 2017 NSDUHs  ",,,,,,,,,,,,,,,,
NOTE: Pain Reliever Use Disorder is defined as meeting criteria for pain reliever dependence or abuse. Dependence or abuse is based on definitions found in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV).,,,,,,,,,,,,,,,,
"NOTE: Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one's own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription psychotherapeutics do not include over-the-counter drugs.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,0.63%,0.58%,0.69%,0.50%,0.41%,0.61%,0.91%,0.80%,1.05%,0.60%,0.54%,0.67%,0.65%,0.59%,0.71%
2,Northeast,0.63%,0.54%,0.72%,0.42%,0.32%,0.55%,0.86%,0.70%,1.06%,0.61%,0.51%,0.73%,0.64%,0.55%,0.75%
3,Midwest,0.67%,0.59%,0.76%,0.50%,0.39%,0.63%,1.00%,0.83%,1.20%,0.64%,0.54%,0.75%,0.69%,0.60%,0.79%
4,South,0.65%,0.58%,0.73%,0.51%,0.41%,0.64%,1.00%,0.84%,1.18%,0.61%,0.52%,0.70%,0.66%,0.58%,0.75%
5,West,0.59%,0.51%,0.67%,0.55%,0.42%,0.72%,0.76%,0.61%,0.94%,0.56%,0.47%,0.67%,0.59%,0.51%,0.68%
6,Alabama,0.77%,0.57%,1.03%,0.52%,0.32%,0.84%,1.33%,0.88%,2.02%,0.71%,0.49%,1.03%,0.80%,0.58%,1.09%
7,Alaska,0.67%,0.49%,0.91%,0.60%,0.36%,0.97%,0.79%,0.49%,1.26%,0.66%,0.45%,0.97%,0.68%,0.48%,0.95%
8,Arizona,0.63%,0.46%,0.85%,0.52%,0.32%,0.83%,0.93%,0.59%,1.45%,0.59%,0.40%,0.86%,0.64%,0.46%,0.88%
9,Arkansas,0.79%,0.58%,1.08%,0.53%,0.33%,0.85%,1.08%,0.69%,1.68%,0.78%,0.53%,1.14%,0.82%,0.59%,1.13%
10,California,0.51%,0.40%,0.64%,0.57%,0.39%,0.84%,0.56%,0.38%,0.82%,0.49%,0.36%,0.66%,0.50%,0.39%,0.64%
11,Colorado,0.67%,0.49%,0.90%,0.49%,0.29%,0.82%,1.19%,0.78%,1.82%,0.60%,0.41%,0.88%,0.68%,0.50%,0.94%
12,Connecticut,0.62%,0.45%,0.85%,0.48%,0.30%,0.77%,0.95%,0.60%,1.52%,0.58%,0.39%,0.86%,0.63%,0.45%,0.89%
13,Delaware,0.73%,0.53%,1.01%,0.49%,0.30%,0.79%,0.91%,0.59%,1.40%,0.73%,0.49%,1.07%,0.75%,0.53%,1.05%
14,District of Columbia,0.55%,0.38%,0.78%,0.45%,0.25%,0.81%,0.66%,0.41%,1.07%,0.53%,0.34%,0.83%,0.56%,0.38%,0.80%
15,Florida,0.63%,0.49%,0.79%,0.54%,0.37%,0.78%,0.97%,0.70%,1.35%,0.59%,0.44%,0.79%,0.63%,0.49%,0.81%
16,Georgia,0.62%,0.47%,0.83%,0.48%,0.31%,0.74%,0.87%,0.58%,1.32%,0.60%,0.42%,0.86%,0.64%,0.47%,0.87%
17,Hawaii,0.47%,0.33%,0.66%,0.54%,0.31%,0.94%,0.58%,0.35%,0.96%,0.44%,0.29%,0.68%,0.46%,0.31%,0.67%
18,Idaho,0.76%,0.57%,1.03%,0.58%,0.37%,0.90%,1.07%,0.71%,1.62%,0.74%,0.51%,1.08%,0.79%,0.57%,1.08%
19,Illinois,0.58%,0.44%,0.76%,0.55%,0.36%,0.83%,0.81%,0.54%,1.21%,0.54%,0.38%,0.77%,0.58%,0.43%,0.78%
20,Indiana,0.74%,0.55%,1.00%,0.49%,0.31%,0.78%,1.23%,0.81%,1.85%,0.69%,0.47%,1.01%,0.77%,0.56%,1.05%
21,Iowa,0.68%,0.49%,0.94%,0.46%,0.28%,0.74%,0.97%,0.62%,1.50%,0.65%,0.43%,0.98%,0.70%,0.50%,0.99%
22,Kansas,0.65%,0.48%,0.89%,0.46%,0.29%,0.76%,0.92%,0.58%,1.44%,0.63%,0.43%,0.92%,0.67%,0.49%,0.93%
23,Kentucky,0.82%,0.61%,1.11%,0.45%,0.28%,0.72%,1.36%,0.90%,2.05%,0.78%,0.54%,1.12%,0.86%,0.63%,1.17%
24,Louisiana,0.70%,0.51%,0.94%,0.44%,0.28%,0.70%,1.15%,0.74%,1.76%,0.65%,0.44%,0.96%,0.72%,0.53%,0.99%
25,Maine,0.78%,0.58%,1.05%,0.46%,0.29%,0.74%,1.39%,0.92%,2.10%,0.73%,0.50%,1.05%,0.80%,0.59%,1.10%
26,Maryland,0.59%,0.43%,0.82%,0.47%,0.29%,0.76%,0.78%,0.49%,1.22%,0.58%,0.38%,0.86%,0.60%,0.42%,0.86%
27,Massachusetts,0.68%,0.49%,0.94%,0.44%,0.27%,0.72%,0.80%,0.51%,1.25%,0.68%,0.46%,1.01%,0.70%,0.50%,0.98%
28,Michigan,0.74%,0.58%,0.95%,0.49%,0.32%,0.73%,0.98%,0.69%,1.41%,0.73%,0.54%,0.99%,0.77%,0.59%,0.99%
29,Minnesota,0.59%,0.43%,0.82%,0.44%,0.27%,0.72%,0.81%,0.51%,1.26%,0.57%,0.38%,0.86%,0.61%,0.43%,0.86%
30,Mississippi,0.75%,0.55%,1.02%,0.50%,0.31%,0.81%,1.23%,0.79%,1.89%,0.70%,0.47%,1.03%,0.78%,0.56%,1.07%
31,Missouri,0.69%,0.51%,0.93%,0.50%,0.31%,0.81%,1.04%,0.67%,1.60%,0.65%,0.44%,0.95%,0.70%,0.51%,0.97%
32,Montana,0.72%,0.53%,0.96%,0.49%,0.31%,0.79%,1.19%,0.78%,1.81%,0.66%,0.46%,0.97%,0.74%,0.54%,1.01%
33,Nebraska,0.65%,0.48%,0.88%,0.47%,0.29%,0.77%,0.95%,0.62%,1.45%,0.62%,0.42%,0.90%,0.67%,0.48%,0.92%
34,Nevada,0.69%,0.49%,0.98%,0.61%,0.37%,0.99%,0.93%,0.58%,1.49%,0.67%,0.44%,1.01%,0.70%,0.49%,1.01%
35,New Hampshire,0.69%,0.51%,0.94%,0.48%,0.30%,0.76%,1.24%,0.80%,1.90%,0.63%,0.43%,0.93%,0.71%,0.52%,0.98%
36,New Jersey,0.60%,0.44%,0.83%,0.43%,0.27%,0.71%,0.82%,0.52%,1.27%,0.59%,0.40%,0.87%,0.62%,0.44%,0.87%
37,New Mexico,0.52%,0.39%,0.71%,0.59%,0.36%,0.98%,0.93%,0.60%,1.45%,0.45%,0.30%,0.67%,0.52%,0.37%,0.72%
38,New York,0.56%,0.43%,0.73%,0.39%,0.26%,0.59%,0.72%,0.50%,1.04%,0.55%,0.40%,0.76%,0.58%,0.44%,0.76%
39,North Carolina,0.65%,0.49%,0.86%,0.46%,0.29%,0.73%,0.88%,0.58%,1.32%,0.64%,0.45%,0.90%,0.67%,0.50%,0.91%
40,North Dakota,0.66%,0.49%,0.89%,0.46%,0.29%,0.74%,1.05%,0.70%,1.58%,0.60%,0.41%,0.89%,0.68%,0.50%,0.93%
41,Ohio,0.73%,0.57%,0.93%,0.51%,0.35%,0.76%,1.20%,0.85%,1.70%,0.68%,0.50%,0.92%,0.75%,0.58%,0.97%
42,Oklahoma,0.69%,0.50%,0.93%,0.52%,0.33%,0.82%,0.88%,0.55%,1.40%,0.67%,0.46%,0.97%,0.70%,0.51%,0.98%
43,Oregon,0.69%,0.50%,0.95%,0.51%,0.32%,0.80%,0.87%,0.55%,1.38%,0.69%,0.47%,1.00%,0.71%,0.51%,0.99%
44,Pennsylvania,0.68%,0.53%,0.88%,0.40%,0.26%,0.63%,1.02%,0.71%,1.46%,0.66%,0.49%,0.91%,0.71%,0.54%,0.93%
45,Rhode Island,0.61%,0.45%,0.83%,0.43%,0.26%,0.70%,0.84%,0.54%,1.32%,0.59%,0.40%,0.86%,0.63%,0.45%,0.87%
46,South Carolina,0.73%,0.53%,1.00%,0.49%,0.31%,0.77%,1.30%,0.85%,1.98%,0.67%,0.45%,1.00%,0.75%,0.54%,1.05%
47,South Dakota,0.69%,0.50%,0.96%,0.51%,0.32%,0.82%,0.93%,0.59%,1.46%,0.68%,0.45%,1.01%,0.71%,0.50%,1.01%
48,Tennessee,0.76%,0.56%,1.02%,0.49%,0.30%,0.79%,1.34%,0.87%,2.05%,0.69%,0.47%,1.02%,0.78%,0.57%,1.07%
49,Texas,0.55%,0.43%,0.69%,0.58%,0.39%,0.87%,0.91%,0.63%,1.29%,0.48%,0.35%,0.66%,0.54%,0.42%,0.71%
