"Table 22. Alcohol Use Disorder in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2016 and 2017 NSDUHs  ",,,,,,,,,,,,,,,,
NOTE: Alcohol Use Disorder is defined as meeting criteria for alcohol dependence or abuse. Dependence or abuse is based on definitions found in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV).,,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,5.46%,5.29%,5.64%,1.87%,1.70%,2.06%,10.35%,9.90%,10.81%,5.09%,4.88%,5.30%,5.82%,5.63%,6.02%
2,Northeast,5.61%,5.24%,6.01%,1.82%,1.55%,2.14%,10.98%,10.14%,11.89%,5.17%,4.75%,5.62%,5.97%,5.57%,6.39%
3,Midwest,5.82%,5.52%,6.14%,1.99%,1.75%,2.27%,11.47%,10.75%,12.23%,5.35%,5.00%,5.71%,6.22%,5.89%,6.56%
4,South,4.99%,4.73%,5.25%,1.67%,1.45%,1.91%,9.28%,8.70%,9.90%,4.69%,4.40%,5.00%,5.33%,5.06%,5.62%
5,West,5.77%,5.42%,6.15%,2.11%,1.81%,2.46%,10.54%,9.72%,11.42%,5.42%,5.01%,5.86%,6.15%,5.77%,6.55%
6,Alabama,4.51%,3.64%,5.57%,1.54%,1.00%,2.38%,7.93%,6.21%,10.08%,4.30%,3.35%,5.51%,4.81%,3.88%,5.95%
7,Alaska,6.57%,5.48%,7.86%,2.21%,1.52%,3.22%,11.26%,9.05%,13.91%,6.35%,5.12%,7.85%,7.06%,5.88%,8.45%
8,Arizona,5.49%,4.50%,6.69%,1.85%,1.23%,2.77%,11.31%,9.02%,14.08%,4.97%,3.90%,6.32%,5.88%,4.81%,7.16%
9,Arkansas,5.38%,4.45%,6.50%,2.12%,1.44%,3.10%,9.32%,7.40%,11.68%,5.14%,4.11%,6.40%,5.73%,4.72%,6.93%
10,California,5.51%,4.98%,6.09%,2.01%,1.56%,2.57%,9.90%,8.67%,11.28%,5.18%,4.58%,5.86%,5.87%,5.30%,6.49%
