"Table 23. Substance Use Disorder in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2016 and 2017 NSDUHs  ",,,,,,,,,,,,,,,,
NOTE: Substance Use Disorder is defined as meeting criteria for illicit drug or alcohol dependence or abuse. Dependence or abuse is based on definitions found in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV).,,,,,,,,,,,,,,,,
"NOTE: Illicit Drug Use includes the misuse of prescription psychotherapeutics or the use of marijuana, cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine. Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one's own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription psychotherapeutics do not include over-the-counter drugs.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,7.35%,7.15%,7.55%,4.13%,3.87%,4.40%,14.97%,14.46%,15.50%,6.49%,6.26%,6.73%,7.68%,7.46%,7.90%
2,Northeast,7.63%,7.21%,8.06%,3.84%,3.44%,4.28%,16.35%,15.33%,17.43%,6.64%,6.16%,7.16%,7.98%,7.53%,8.45%
3,Midwest,7.63%,7.27%,8.01%,4.09%,3.72%,4.50%,15.33%,14.45%,16.25%,6.78%,6.36%,7.24%,8.00%,7.61%,8.40%
4,South,6.77%,6.47%,7.09%,3.82%,3.48%,4.19%,13.97%,13.20%,14.77%,5.97%,5.60%,6.36%,7.08%,6.75%,7.42%
5,West,7.82%,7.42%,8.24%,4.85%,4.33%,5.42%,15.20%,14.20%,16.26%,6.95%,6.48%,7.45%,8.12%,7.69%,8.59%
6,Alabama,6.59%,5.54%,7.83%,3.96%,2.93%,5.33%,12.09%,9.88%,14.71%,6.01%,4.83%,7.46%,6.86%,5.72%,8.20%
7,Alaska,8.98%,7.75%,10.39%,6.54%,4.98%,8.55%,16.53%,13.90%,19.54%,8.04%,6.65%,9.68%,9.26%,7.94%,10.77%
8,Arizona,7.45%,6.31%,8.77%,4.77%,3.67%,6.17%,15.98%,13.23%,19.17%,6.36%,5.13%,7.86%,7.73%,6.51%,9.16%
9,Arkansas,7.37%,6.28%,8.64%,4.10%,3.17%,5.30%,13.55%,11.15%,16.38%,6.76%,5.53%,8.24%,7.72%,6.53%,9.10%
10,California,7.48%,6.90%,8.11%,4.63%,3.93%,5.44%,14.20%,12.70%,15.85%,6.69%,6.01%,7.43%,7.78%,7.14%,8.46%
11,Colorado,8.76%,7.59%,10.07%,5.60%,4.29%,7.27%,19.39%,16.37%,22.82%,7.39%,6.14%,8.88%,9.07%,7.83%,10.49%
12,Connecticut,8.40%,7.21%,9.78%,4.64%,3.53%,6.08%,18.34%,15.50%,21.56%,7.22%,5.89%,8.83%,8.77%,7.49%,10.26%
13,Delaware,8.53%,7.28%,9.97%,4.32%,3.31%,5.63%,16.08%,13.46%,19.11%,7.86%,6.46%,9.54%,8.93%,7.59%,10.48%
14,District of Columbia,11.21%,9.73%,12.87%,5.14%,3.93%,6.70%,19.23%,16.19%,22.69%,10.05%,8.43%,11.94%,11.55%,10.00%,13.29%
15,Florida,6.95%,6.24%,7.72%,4.54%,3.78%,5.43%,14.56%,12.89%,16.41%,6.14%,5.34%,7.04%,7.16%,6.40%,7.99%
16,Georgia,6.00%,5.15%,6.98%,3.18%,2.44%,4.13%,11.59%,9.72%,13.78%,5.43%,4.47%,6.58%,6.32%,5.40%,7.38%
17,Hawaii,6.77%,5.73%,8.00%,3.93%,2.96%,5.19%,15.37%,12.71%,18.47%,5.88%,4.74%,7.28%,7.03%,5.91%,8.34%
18,Idaho,7.79%,6.64%,9.13%,4.65%,3.61%,5.96%,13.18%,10.77%,16.02%,7.34%,6.01%,8.94%,8.18%,6.91%,9.64%
19,Illinois,7.98%,7.15%,8.90%,4.67%,3.75%,5.79%,16.03%,14.08%,18.20%,7.07%,6.14%,8.14%,8.32%,7.43%,9.32%
20,Indiana,7.14%,6.03%,8.44%,3.29%,2.47%,4.37%,14.61%,12.11%,17.52%,6.33%,5.12%,7.81%,7.56%,6.36%,8.97%
21,Iowa,8.73%,7.51%,10.12%,4.18%,3.23%,5.38%,17.23%,14.49%,20.38%,7.76%,6.41%,9.38%,9.20%,7.88%,10.71%
22,Kansas,6.92%,5.90%,8.10%,4.09%,3.18%,5.25%,14.05%,11.59%,16.92%,6.02%,4.90%,7.37%,7.24%,6.14%,8.51%
23,Kentucky,7.12%,6.00%,8.42%,3.62%,2.77%,4.72%,13.72%,11.28%,16.59%,6.46%,5.21%,7.97%,7.47%,6.27%,8.88%
24,Louisiana,8.02%,6.85%,9.37%,3.89%,2.98%,5.05%,14.25%,11.79%,17.12%,7.50%,6.18%,9.08%,8.46%,7.19%,9.92%
25,Maine,8.08%,6.84%,9.52%,4.75%,3.69%,6.09%,16.02%,13.39%,19.04%,7.33%,5.94%,9.02%,8.36%,7.04%,9.90%
26,Maryland,7.49%,6.41%,8.75%,3.45%,2.65%,4.48%,16.84%,14.09%,20.00%,6.52%,5.32%,7.97%,7.89%,6.72%,9.25%
27,Massachusetts,9.64%,8.24%,11.25%,4.26%,3.26%,5.55%,19.92%,16.83%,23.41%,8.44%,6.89%,10.30%,10.13%,8.62%,11.86%
28,Michigan,7.56%,6.77%,8.44%,3.87%,3.15%,4.75%,14.47%,12.70%,16.45%,6.84%,5.92%,7.89%,7.93%,7.08%,8.88%
29,Minnesota,6.72%,5.69%,7.92%,4.27%,3.25%,5.60%,14.88%,12.38%,17.78%,5.72%,4.62%,7.06%,6.97%,5.87%,8.27%
30,Mississippi,6.44%,5.40%,7.67%,3.49%,2.64%,4.61%,12.82%,10.43%,15.65%,5.72%,4.57%,7.14%,6.77%,5.64%,8.11%
31,Missouri,7.29%,6.18%,8.59%,3.72%,2.83%,4.87%,13.08%,10.65%,15.97%,6.77%,5.53%,8.27%,7.66%,6.45%,9.06%
32,Montana,8.98%,7.75%,10.38%,6.30%,4.86%,8.11%,17.91%,15.23%,20.95%,7.84%,6.48%,9.47%,9.23%,7.92%,10.73%
33,Nebraska,7.69%,6.60%,8.94%,4.05%,3.14%,5.21%,16.10%,13.44%,19.18%,6.66%,5.45%,8.10%,8.08%,6.90%,9.45%
34,Nevada,8.04%,6.82%,9.45%,5.20%,3.96%,6.78%,18.76%,15.63%,22.35%,6.81%,5.48%,8.42%,8.32%,7.02%,9.85%
35,New Hampshire,8.32%,7.20%,9.60%,4.25%,3.29%,5.49%,19.33%,16.38%,22.68%,7.04%,5.81%,8.51%,8.69%,7.48%,10.06%
36,New Jersey,6.23%,5.35%,7.24%,3.34%,2.58%,4.32%,15.80%,13.31%,18.66%,5.14%,4.20%,6.27%,6.52%,5.57%,7.61%
37,New Mexico,8.01%,6.84%,9.35%,6.01%,4.61%,7.82%,16.81%,14.06%,19.97%,6.80%,5.52%,8.36%,8.22%,6.96%,9.68%
38,New York,7.71%,6.99%,8.50%,4.04%,3.33%,4.89%,15.18%,13.47%,17.06%,6.88%,6.05%,7.82%,8.04%,7.27%,8.89%
39,North Carolina,6.27%,5.39%,7.29%,3.63%,2.84%,4.62%,12.25%,10.22%,14.61%,5.64%,4.67%,6.81%,6.54%,5.59%,7.64%
40,North Dakota,8.24%,7.06%,9.60%,4.39%,3.38%,5.68%,15.13%,12.55%,18.13%,7.25%,5.95%,8.80%,8.60%,7.33%,10.06%
41,Ohio,7.67%,6.87%,8.55%,3.99%,3.26%,4.87%,15.97%,14.15%,17.97%,6.79%,5.87%,7.83%,8.05%,7.19%,9.00%
42,Oklahoma,7.44%,6.30%,8.77%,4.36%,3.34%,5.67%,13.93%,11.46%,16.84%,6.72%,5.45%,8.26%,7.78%,6.54%,9.22%
43,Oregon,9.39%,8.06%,10.92%,5.30%,4.14%,6.78%,17.17%,14.56%,20.13%,8.65%,7.14%,10.45%,9.76%,8.33%,11.41%
44,Pennsylvania,6.88%,6.13%,7.71%,3.19%,2.55%,3.97%,15.19%,13.37%,17.20%,5.99%,5.14%,6.96%,7.22%,6.42%,8.12%
45,Rhode Island,8.44%,7.23%,9.82%,4.69%,3.60%,6.09%,17.28%,14.41%,20.58%,7.24%,5.94%,8.80%,8.77%,7.49%,10.24%
46,South Carolina,7.53%,6.41%,8.82%,4.09%,3.13%,5.33%,16.69%,14.05%,19.72%,6.49%,5.26%,7.99%,7.86%,6.66%,9.26%
