"Table 24. Needing But Not Receiving Treatment at a Specialty Facility for Illicit Drug Use in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2016 and 2017 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Respondents were classified as needing illicit drug treatment if they met the criteria for an illicit drug use disorder as defined in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV) or received treatment for illicit drug use at a specialty facility (i.e., drug and alcohol rehabilitation facility [inpatient or outpatient], hospital [inpatient only], or mental health center). Needing But Not Receiving Illicit Drug Treatment refers to respondents who are classified as needing illicit drug treatment, but who did not receive illicit drug treatment at a specialty facility. Illicit Drug Use includes the misuse of prescription psychotherapeutics or the use of marijuana, cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine. Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one's own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription psychotherapeutics do not include over-the-counter drugs.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,2.45%,2.35%,2.55%,2.92%,2.70%,3.15%,6.58%,6.22%,6.95%,1.72%,1.62%,1.84%,2.40%,2.30%,2.52%
2,Northeast,2.48%,2.27%,2.70%,2.65%,2.33%,3.01%,6.73%,6.09%,7.42%,1.78%,1.56%,2.03%,2.46%,2.24%,2.70%
3,Midwest,2.30%,2.11%,2.49%,2.56%,2.27%,2.88%,5.91%,5.37%,6.50%,1.67%,1.48%,1.88%,2.27%,2.08%,2.48%
4,South,2.30%,2.15%,2.46%,2.73%,2.46%,3.03%,6.59%,6.11%,7.10%,1.56%,1.41%,1.73%,2.26%,2.10%,2.43%
5,West,2.80%,2.57%,3.06%,3.72%,3.26%,4.25%,7.04%,6.35%,7.79%,1.99%,1.74%,2.27%,2.71%,2.46%,2.98%
6,Alabama,2.48%,1.98%,3.09%,2.49%,1.83%,3.37%,7.08%,5.42%,9.19%,1.73%,1.27%,2.34%,2.47%,1.96%,3.13%
7,Alaska,3.07%,2.48%,3.80%,4.15%,3.04%,5.63%,7.33%,5.61%,9.51%,2.21%,1.63%,3.00%,2.95%,2.33%,3.73%
8,Arizona,2.32%,1.86%,2.88%,3.52%,2.64%,4.69%,6.39%,4.73%,8.59%,1.49%,1.10%,2.04%,2.19%,1.73%,2.78%
9,Arkansas,2.26%,1.80%,2.85%,2.74%,2.02%,3.71%,5.37%,3.99%,7.19%,1.69%,1.24%,2.31%,2.21%,1.73%,2.83%
10,California,2.80%,2.46%,3.19%,3.79%,3.14%,4.56%,6.73%,5.73%,7.90%,2.02%,1.67%,2.44%,2.70%,2.34%,3.11%
11,Colorado,3.30%,2.66%,4.10%,3.98%,2.97%,5.33%,9.34%,7.19%,12.06%,2.24%,1.65%,3.03%,3.24%,2.56%,4.08%
12,Connecticut,3.11%,2.47%,3.90%,3.25%,2.37%,4.46%,8.71%,6.65%,11.33%,2.18%,1.59%,2.99%,3.09%,2.43%,3.93%
13,Delaware,2.82%,2.26%,3.51%,3.24%,2.45%,4.28%,7.32%,5.60%,9.51%,2.10%,1.54%,2.86%,2.78%,2.19%,3.51%
14,District of Columbia,3.50%,2.78%,4.40%,3.36%,2.48%,4.54%,7.81%,5.91%,10.26%,2.67%,1.97%,3.61%,3.51%,2.76%,4.44%
15,Florida,2.41%,2.06%,2.81%,3.51%,2.86%,4.30%,6.55%,5.45%,7.85%,1.73%,1.38%,2.18%,2.31%,1.95%,2.74%
16,Georgia,2.18%,1.78%,2.65%,2.39%,1.80%,3.15%,5.93%,4.59%,7.65%,1.51%,1.14%,2.00%,2.15%,1.74%,2.66%
17,Hawaii,2.01%,1.57%,2.58%,2.96%,2.14%,4.06%,5.86%,4.35%,7.83%,1.39%,0.97%,1.98%,1.93%,1.47%,2.52%
18,Idaho,2.09%,1.66%,2.64%,2.86%,2.09%,3.89%,5.33%,3.87%,7.30%,1.45%,1.05%,1.99%,2.00%,1.55%,2.58%
19,Illinois,2.32%,1.94%,2.78%,2.68%,2.11%,3.40%,5.88%,4.70%,7.33%,1.70%,1.32%,2.19%,2.29%,1.88%,2.78%
20,Indiana,2.18%,1.71%,2.78%,2.31%,1.69%,3.15%,5.51%,4.03%,7.48%,1.58%,1.14%,2.20%,2.17%,1.67%,2.81%
21,Iowa,2.21%,1.73%,2.82%,2.42%,1.76%,3.32%,5.84%,4.40%,7.71%,1.54%,1.09%,2.17%,2.19%,1.69%,2.83%
22,Kansas,1.91%,1.47%,2.49%,2.24%,1.61%,3.12%,5.02%,3.61%,6.94%,1.32%,0.92%,1.88%,1.88%,1.42%,2.48%
23,Kentucky,2.41%,1.91%,3.04%,2.55%,1.89%,3.44%,6.58%,4.95%,8.68%,1.72%,1.25%,2.36%,2.40%,1.87%,3.07%
24,Louisiana,2.37%,1.89%,2.98%,2.15%,1.58%,2.93%,6.39%,4.80%,8.44%,1.74%,1.27%,2.38%,2.40%,1.89%,3.05%
25,Maine,2.70%,2.13%,3.43%,2.90%,2.14%,3.91%,7.35%,5.56%,9.67%,2.06%,1.49%,2.85%,2.69%,2.08%,3.45%
26,Maryland,2.44%,1.95%,3.05%,2.56%,1.88%,3.48%,6.98%,5.29%,9.17%,1.74%,1.28%,2.35%,2.43%,1.92%,3.08%
27,Massachusetts,3.03%,2.39%,3.83%,2.90%,2.16%,3.87%,7.47%,5.67%,9.79%,2.28%,1.64%,3.14%,3.04%,2.37%,3.90%
28,Michigan,2.49%,2.10%,2.96%,2.59%,2.04%,3.29%,6.21%,5.08%,7.57%,1.86%,1.45%,2.38%,2.48%,2.07%,2.98%
29,Minnesota,2.12%,1.65%,2.71%,2.69%,1.99%,3.63%,5.34%,3.92%,7.24%,1.54%,1.09%,2.16%,2.06%,1.57%,2.69%
30,Mississippi,2.38%,1.88%,2.99%,2.48%,1.81%,3.39%,6.45%,4.81%,8.60%,1.65%,1.20%,2.27%,2.36%,1.84%,3.03%
31,Missouri,2.27%,1.82%,2.84%,2.34%,1.73%,3.16%,5.81%,4.35%,7.71%,1.69%,1.25%,2.28%,2.27%,1.79%,2.87%
32,Montana,2.64%,2.14%,3.24%,3.39%,2.54%,4.49%,7.63%,5.91%,9.81%,1.76%,1.31%,2.36%,2.57%,2.05%,3.20%
33,Nebraska,2.29%,1.82%,2.88%,2.57%,1.92%,3.43%,6.51%,4.89%,8.62%,1.50%,1.08%,2.08%,2.26%,1.76%,2.89%
34,Nevada,3.05%,2.42%,3.84%,4.21%,3.11%,5.67%,9.16%,6.93%,12.01%,2.03%,1.46%,2.83%,2.94%,2.29%,3.76%
35,New Hampshire,2.66%,2.14%,3.31%,2.92%,2.18%,3.89%,8.51%,6.53%,11.01%,1.73%,1.25%,2.39%,2.64%,2.09%,3.33%
36,New Jersey,1.85%,1.48%,2.31%,2.40%,1.80%,3.20%,5.52%,4.18%,7.26%,1.25%,0.90%,1.72%,1.80%,1.41%,2.28%
37,New Mexico,2.81%,2.26%,3.49%,4.25%,3.16%,5.69%,8.11%,6.17%,10.59%,1.76%,1.26%,2.46%,2.66%,2.09%,3.38%
