"Table 25. Needing But Not Receiving Treatment at a Specialty Facility for Alcohol Use in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2016 and 2017 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Respondents were classified as needing alcohol treatment if they met the criteria for an alcohol use disorder as defined in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV) or received treatment for alcohol use at a specialty facility (i.e., drug and alcohol rehabilitation facility [inpatient or outpatient], hospital [inpatient only], or mental health center). Needing But Not Receiving Alcohol Treatment refers to respondents who are classified as needing alcohol treatment, but who did not receive alcohol treatment at a specialty facility.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,5.22%,5.05%,5.39%,1.79%,1.62%,1.98%,9.99%,9.56%,10.45%,4.85%,4.65%,5.05%,5.57%,5.38%,5.76%
2,Northeast,5.40%,5.05%,5.78%,1.72%,1.45%,2.03%,10.54%,9.72%,11.41%,4.98%,4.58%,5.42%,5.75%,5.36%,6.16%
3,Midwest,5.52%,5.23%,5.82%,1.89%,1.65%,2.16%,10.67%,9.99%,11.38%,5.10%,4.76%,5.46%,5.89%,5.58%,6.22%
4,South,4.73%,4.49%,4.98%,1.64%,1.43%,1.89%,9.09%,8.54%,9.68%,4.40%,4.12%,4.70%,5.05%,4.79%,5.32%
5,West,5.59%,5.26%,5.94%,1.99%,1.69%,2.35%,10.40%,9.58%,11.27%,5.23%,4.84%,5.65%,5.96%,5.61%,6.34%
6,Alabama,4.24%,3.49%,5.14%,1.64%,1.08%,2.48%,7.80%,6.16%,9.84%,3.97%,3.14%,5.00%,4.50%,3.70%,5.47%
7,Alaska,6.35%,5.30%,7.59%,1.98%,1.33%,2.93%,10.27%,8.28%,12.67%,6.26%,5.06%,7.73%,6.84%,5.71%,8.18%
8,Arizona,5.16%,4.30%,6.18%,1.82%,1.21%,2.73%,11.30%,9.09%,13.95%,4.55%,3.63%,5.69%,5.51%,4.59%,6.61%
9,Arkansas,4.73%,3.94%,5.66%,1.99%,1.36%,2.92%,8.94%,7.14%,11.14%,4.37%,3.50%,5.44%,5.01%,4.18%,6.01%
10,California,5.41%,4.90%,5.97%,1.95%,1.50%,2.53%,9.93%,8.70%,11.30%,5.05%,4.47%,5.71%,5.76%,5.21%,6.36%
