"Table 26. Needing But Not Receiving Treatment at a Specialty Facility for Substance Use in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2016 and 2017 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Respondents were classified as needing substance use treatment if they met the criteria for an illicit drug or alcohol use disorder as defined in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV) or received treatment for illicit drug or alcohol use at a specialty facility (i.e., drug and alcohol rehabilitation facility [inpatient or outpatient], hospital [inpatient only], or mental health center). Needing But Not Receiving Substance Use Treatment refers to respondents who are classified as needing illicit drug or alcohol treatment, but who did not receive illicit drug or alcohol treatment at a specialty facility. Illicit Drug Use includes the misuse of prescription psychotherapeutics or the use of marijuana, cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine. Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one's own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription psychotherapeutics do not include over-the-counter drugs.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"12 or Older
Estimate","12 or Older
95% CI (Lower)","12 or Older
95% CI (Upper)","12-17
Estimate","12-17
95% CI (Lower)","12-17
95% CI (Upper)","18-25
Estimate","18-25
95% CI (Lower)","18-25
95% CI (Upper)","26 or Older
Estimate","26 or Older
95% CI (Lower)","26 or Older
95% CI (Upper)","18 or Older
Estimate","18 or Older
95% CI (Lower)","18 or Older
95% CI (Upper)"
1,Total U.S.,6.82%,6.62%,7.01%,3.89%,3.64%,4.15%,14.07%,13.57%,14.58%,5.98%,5.75%,6.21%,7.11%,6.90%,7.33%
2,Northeast,6.94%,6.54%,7.36%,3.65%,3.26%,4.08%,15.07%,14.11%,16.08%,6.00%,5.54%,6.50%,7.25%,6.82%,7.69%
3,Midwest,6.99%,6.65%,7.34%,3.83%,3.48%,4.21%,14.46%,13.66%,15.30%,6.13%,5.73%,6.55%,7.31%,6.95%,7.69%
4,South,6.28%,6.00%,6.58%,3.60%,3.27%,3.96%,13.22%,12.54%,13.94%,5.49%,5.15%,5.85%,6.56%,6.25%,6.88%
5,West,7.42%,7.01%,7.84%,4.57%,4.09%,5.09%,14.29%,13.30%,15.34%,6.62%,6.14%,7.13%,7.71%,7.27%,8.17%
6,Alabama,6.09%,5.15%,7.20%,3.42%,2.59%,4.50%,12.18%,9.93%,14.86%,5.42%,4.38%,6.69%,6.36%,5.35%,7.56%
7,Alaska,8.46%,7.26%,9.84%,5.33%,4.11%,6.89%,14.18%,11.64%,17.17%,7.91%,6.52%,9.55%,8.81%,7.51%,10.31%
8,Arizona,7.12%,6.01%,8.40%,4.34%,3.33%,5.63%,15.46%,12.69%,18.70%,6.07%,4.89%,7.50%,7.41%,6.23%,8.80%
9,Arkansas,6.55%,5.52%,7.76%,3.80%,2.91%,4.94%,13.36%,11.00%,16.14%,5.77%,4.64%,7.16%,6.85%,5.74%,8.15%
10,California,7.14%,6.55%,7.78%,4.47%,3.79%,5.27%,13.28%,11.84%,14.87%,6.42%,5.72%,7.19%,7.41%,6.77%,8.11%
11,Colorado,8.57%,7.37%,9.94%,4.89%,3.75%,6.35%,18.86%,15.69%,22.49%,7.32%,6.04%,8.86%,8.94%,7.65%,10.42%
12,Connecticut,7.51%,6.40%,8.80%,4.54%,3.49%,5.89%,16.35%,13.61%,19.52%,6.42%,5.21%,7.87%,7.80%,6.61%,9.20%
13,Delaware,7.70%,6.52%,9.07%,4.00%,3.03%,5.26%,14.61%,12.03%,17.64%,7.07%,5.76%,8.65%,8.05%,6.79%,9.52%
14,District of Columbia,10.37%,8.92%,12.03%,4.98%,3.78%,6.52%,17.95%,14.92%,21.45%,9.26%,7.65%,11.15%,10.67%,9.15%,12.41%
15,Florida,6.65%,5.98%,7.39%,4.42%,3.70%,5.26%,13.94%,12.37%,15.66%,5.87%,5.11%,6.74%,6.84%,6.12%,7.64%
16,Georgia,5.72%,4.91%,6.66%,2.90%,2.20%,3.81%,11.04%,9.19%,13.22%,5.20%,4.29%,6.27%,6.04%,5.16%,7.06%
17,Hawaii,6.30%,5.27%,7.51%,4.08%,3.08%,5.37%,14.41%,11.71%,17.62%,5.41%,4.31%,6.76%,6.50%,5.40%,7.79%
18,Idaho,6.98%,5.85%,8.30%,4.04%,3.07%,5.31%,12.39%,10.04%,15.21%,6.49%,5.21%,8.06%,7.33%,6.11%,8.77%
19,Illinois,7.45%,6.64%,8.36%,4.35%,3.54%,5.35%,14.96%,13.01%,17.14%,6.61%,5.69%,7.67%,7.78%,6.90%,8.76%
20,Indiana,6.54%,5.51%,7.74%,3.16%,2.38%,4.18%,13.68%,11.15%,16.69%,5.72%,4.61%,7.06%,6.90%,5.79%,8.20%
21,Iowa,8.15%,6.96%,9.51%,3.92%,2.99%,5.14%,16.82%,14.09%,19.96%,7.11%,5.80%,8.70%,8.58%,7.30%,10.06%
22,Kansas,6.32%,5.33%,7.47%,3.89%,2.99%,5.05%,13.62%,11.14%,16.55%,5.33%,4.26%,6.64%,6.59%,5.53%,7.83%
23,Kentucky,6.34%,5.38%,7.46%,3.53%,2.70%,4.61%,13.20%,10.89%,15.90%,5.56%,4.52%,6.82%,6.63%,5.60%,7.83%
24,Louisiana,7.22%,6.17%,8.43%,3.49%,2.64%,4.58%,13.59%,11.08%,16.56%,6.62%,5.46%,8.01%,7.61%,6.48%,8.92%
25,Maine,7.69%,6.52%,9.04%,4.64%,3.61%,5.95%,15.55%,12.91%,18.62%,6.93%,5.64%,8.48%,7.94%,6.70%,9.39%
26,Maryland,6.81%,5.79%,8.00%,3.33%,2.52%,4.39%,15.07%,12.61%,17.91%,5.94%,4.83%,7.29%,7.15%,6.06%,8.43%
27,Massachusetts,8.75%,7.47%,10.22%,4.26%,3.21%,5.63%,19.02%,16.04%,22.40%,7.46%,6.07%,9.13%,9.15%,7.79%,10.73%
28,Michigan,6.93%,6.19%,7.75%,3.63%,2.94%,4.47%,13.12%,11.46%,14.98%,6.28%,5.45%,7.23%,7.26%,6.47%,8.14%
29,Minnesota,5.97%,5.02%,7.08%,3.75%,2.81%,4.98%,13.67%,11.22%,16.55%,5.01%,3.99%,6.27%,6.19%,5.18%,7.39%
30,Mississippi,5.73%,4.81%,6.81%,3.37%,2.52%,4.49%,11.94%,9.59%,14.77%,4.96%,3.97%,6.18%,5.99%,5.00%,7.16%
31,Missouri,6.54%,5.55%,7.69%,3.59%,2.73%,4.71%,12.88%,10.44%,15.79%,5.86%,4.79%,7.15%,6.84%,5.77%,8.09%
32,Montana,8.32%,7.16%,9.65%,5.71%,4.38%,7.41%,17.19%,14.47%,20.29%,7.19%,5.92%,8.71%,8.57%,7.34%,9.98%
33,Nebraska,6.78%,5.80%,7.92%,3.86%,2.95%,5.04%,16.20%,13.53%,19.28%,5.48%,4.45%,6.75%,7.10%,6.05%,8.33%
34,Nevada,7.68%,6.51%,9.03%,5.42%,4.16%,7.03%,16.50%,13.55%,19.95%,6.66%,5.39%,8.20%,7.91%,6.66%,9.36%
35,New Hampshire,7.80%,6.67%,9.11%,4.17%,3.19%,5.42%,18.13%,15.20%,21.49%,6.58%,5.35%,8.07%,8.13%,6.92%,9.53%
36,New Jersey,5.74%,4.87%,6.75%,3.21%,2.46%,4.17%,14.07%,11.78%,16.72%,4.79%,3.85%,5.95%,5.99%,5.06%,7.08%
37,New Mexico,7.44%,6.32%,8.74%,5.20%,4.01%,6.71%,15.54%,12.81%,18.74%,6.38%,5.16%,7.88%,7.68%,6.47%,9.09%
38,New York,7.05%,6.35%,7.81%,3.73%,3.09%,4.51%,14.19%,12.53%,16.03%,6.24%,5.45%,7.13%,7.35%,6.61%,8.17%
39,North Carolina,5.59%,4.78%,6.53%,3.34%,2.57%,4.33%,11.33%,9.38%,13.62%,4.95%,4.05%,6.03%,5.82%,4.95%,6.83%
40,North Dakota,7.57%,6.47%,8.84%,3.93%,3.05%,5.06%,14.59%,12.14%,17.45%,6.52%,5.32%,7.98%,7.90%,6.73%,9.26%
41,Ohio,7.04%,6.26%,7.90%,3.74%,3.02%,4.62%,14.76%,13.01%,16.71%,6.20%,5.31%,7.22%,7.37%,6.54%,8.31%
42,Oklahoma,6.83%,5.78%,8.06%,4.25%,3.26%,5.52%,13.40%,10.93%,16.32%,6.04%,4.91%,7.41%,7.12%,5.99%,8.44%
43,Oregon,8.88%,7.61%,10.35%,5.24%,4.12%,6.66%,16.54%,13.78%,19.73%,8.12%,6.70%,9.81%,9.22%,7.85%,10.79%
44,Pennsylvania,6.12%,5.41%,6.91%,2.97%,2.36%,3.73%,13.58%,11.87%,15.50%,5.30%,4.51%,6.22%,6.41%,5.66%,7.26%
45,Rhode Island,7.96%,6.80%,9.29%,4.61%,3.54%,5.97%,16.40%,13.46%,19.85%,6.79%,5.54%,8.30%,8.25%,7.02%,9.67%
46,South Carolina,6.90%,5.86%,8.10%,3.94%,3.01%,5.13%,16.01%,13.44%,18.96%,5.81%,4.70%,7.17%,7.18%,6.07%,8.48%
47,South Dakota,8.24%,7.05%,9.61%,5.35%,4.18%,6.83%,17.09%,14.32%,20.28%,7.09%,5.77%,8.69%,8.54%,7.26%,10.02%
48,Tennessee,6.14%,5.19%,7.24%,3.72%,2.83%,4.88%,13.60%,11.15%,16.49%,5.23%,4.23%,6.47%,6.38%,5.37%,7.57%
49,Texas,5.72%,5.15%,6.35%,3.35%,2.73%,4.10%,12.71%,11.24%,14.35%,4.81%,4.16%,5.55%,6.01%,5.39%,6.69%
50,Utah,6.11%,5.17%,7.20%,3.09%,2.30%,4.14%,12.11%,9.78%,14.90%,5.29%,4.28%,6.53%,6.53%,5.51%,7.74%
51,Vermont,8.75%,7.48%,10.20%,4.87%,3.73%,6.33%,21.49%,17.92%,25.56%,6.91%,5.60%,8.50%,9.07%,7.72%,10.63%
52,Virginia,7.06%,6.14%,8.10%,3.60%,2.79%,4.63%,15.42%,13.31%,17.81%,6.12%,5.09%,7.33%,7.40%,6.42%,8.52%
53,Washington,7.97%,6.76%,9.37%,4.99%,3.83%,6.47%,14.09%,11.52%,17.13%,7.36%,6.01%,8.98%,8.26%,6.97%,9.76%
54,West Virginia,5.98%,5.00%,7.12%,4.27%,3.22%,5.64%,13.05%,10.62%,15.94%,5.12%,4.08%,6.40%,6.13%,5.10%,7.35%
