"Table 27. Serious Mental Illness in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2016 and 2017 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Serious mental illness (SMI) is defined as having a diagnosable mental, behavioral, or emotional disorder, other than a developmental or substance use disorder, assessed by the Mental Health Surveillance Study (MHSS) Structured Clinical Interview for the Diagnostic and Statistical Manual of Mental Disorders—Fourth Edition—Research Version—Axis I Disorders (MHSS-SCID), which is based on the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV). SMI includes individuals with diagnoses resulting in serious functional impairment. For details, see Section B of the ""2016-2017 NSDUH: Guide to State Tables and Summary of Small Area Estimation Methodology"" at https://www.samhsa.gov/data/.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)",,,,,,
1,Total U.S.,4.38%,4.21%,4.56%,6.68%,6.32%,7.06%,4.01%,3.82%,4.20%,,,,,,
2,Northeast,4.16%,3.85%,4.50%,6.58%,5.98%,7.23%,3.78%,3.44%,4.15%,,,,,,
3,Midwest,4.64%,4.38%,4.93%,7.09%,6.57%,7.64%,4.24%,3.95%,4.55%,,,,,,
4,South,4.31%,4.08%,4.55%,6.25%,5.82%,6.72%,4.00%,3.75%,4.27%,,,,,,
5,West,4.43%,4.12%,4.76%,7.05%,6.40%,7.77%,3.99%,3.67%,4.35%,,,,,,
6,Alabama,4.80%,4.01%,5.74%,5.95%,4.68%,7.54%,4.62%,3.75%,5.67%,,,,,,
7,Alaska,5.02%,4.16%,6.05%,8.53%,6.83%,10.62%,4.43%,3.54%,5.54%,,,,,,
8,Arizona,4.13%,3.39%,5.04%,6.37%,5.00%,8.08%,3.76%,2.97%,4.76%,,,,,,
9,Arkansas,5.44%,4.54%,6.52%,6.65%,5.23%,8.43%,5.25%,4.26%,6.45%,,,,,,
10,California,3.94%,3.51%,4.42%,6.61%,5.67%,7.69%,3.48%,3.03%,4.01%,,,,,,
11,Colorado,5.08%,4.20%,6.12%,8.67%,6.88%,10.87%,4.49%,3.60%,5.59%,,,,,,
12,Connecticut,4.16%,3.40%,5.08%,7.43%,5.86%,9.38%,3.63%,2.84%,4.63%,,,,,,
13,Delaware,4.90%,4.03%,5.94%,7.70%,6.11%,9.67%,4.48%,3.57%,5.60%,,,,,,
