"Table 28. Any Mental Illness in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2016 and 2017 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Any mental illness (AMI) is defined as having a diagnosable mental, behavioral, or emotional disorder, other than a developmental or substance use disorder, assessed by the Mental Health Surveillance Study (MHSS) Structured Clinical Interview for the Diagnostic and Statistical Manual of Mental Disorders—Fourth Edition—Research Version—Axis I Disorders (MHSS-SCID), which is based on the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV). For details, see Section B of the ""2016-2017 NSDUH: Guide to State Tables and Summary of Small Area Estimation Methodology"" at https://www.samhsa.gov/data/.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)",,,,,,
1,Total U.S.,18.57%,18.20%,18.93%,23.93%,23.28%,24.60%,17.69%,17.29%,18.10%,,,,,,
2,Northeast,18.01%,17.30%,18.73%,24.10%,22.98%,25.27%,17.03%,16.24%,17.86%,,,,,,
3,Midwest,18.78%,18.16%,19.41%,24.92%,23.98%,25.89%,17.76%,17.06%,18.48%,,,,,,
4,South,18.18%,17.67%,18.70%,22.47%,21.65%,23.31%,17.49%,16.91%,18.09%,,,,,,
5,West,19.41%,18.70%,20.14%,25.19%,24.04%,26.37%,18.45%,17.65%,19.28%,,,,,,
6,Alabama,19.95%,17.96%,22.10%,21.52%,18.77%,24.56%,19.69%,17.44%,22.16%,,,,,,
7,Alaska,20.32%,18.30%,22.50%,27.34%,24.11%,30.83%,19.14%,16.90%,21.59%,,,,,,
8,Arizona,18.02%,15.98%,20.27%,22.39%,19.29%,25.83%,17.30%,15.01%,19.86%,,,,,,
9,Arkansas,20.73%,18.70%,22.91%,24.46%,21.41%,27.79%,20.11%,17.83%,22.61%,,,,,,
10,California,18.18%,17.14%,19.26%,24.75%,22.97%,26.62%,17.06%,15.89%,18.30%,,,,,,
11,Colorado,19.86%,17.94%,21.93%,27.72%,24.33%,31.39%,18.58%,16.44%,20.93%,,,,,,
12,Connecticut,18.18%,16.21%,20.34%,25.56%,22.35%,29.06%,16.98%,14.81%,19.41%,,,,,,
13,Delaware,18.65%,16.69%,20.79%,23.52%,20.49%,26.85%,17.93%,15.74%,20.34%,,,,,,
14,District of Columbia,21.17%,18.99%,23.54%,23.89%,20.77%,27.32%,20.65%,18.17%,23.37%,,,,,,
15,Florida,17.54%,16.36%,18.79%,22.74%,20.81%,24.79%,16.83%,15.50%,18.24%,,,,,,
