"Table 29. Received Mental Health Services in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2016 and 2017 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Mental Health Services are defined as having received inpatient treatment/counseling or outpatient treatment/counseling or having used prescription medication for problems with emotions, nerves, or mental health. Respondents were not to include treatment for drug or alcohol use.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2016 and 2017.",,,,,,,,,,,,,,,,
Order,State,"18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)",,,,,,
1,Total U.S.,14.60%,14.28%,14.93%,13.90%,13.40%,14.41%,14.72%,14.36%,15.08%,,,,,,
2,Northeast,15.66%,15.01%,16.34%,15.18%,14.28%,16.14%,15.74%,15.00%,16.50%,,,,,,
3,Midwest,16.45%,15.86%,17.06%,16.04%,15.21%,16.91%,16.52%,15.85%,17.21%,,,,,,
4,South,13.81%,13.36%,14.28%,12.72%,12.04%,13.43%,13.99%,13.47%,14.52%,,,,,,
5,West,13.42%,12.81%,14.04%,12.88%,12.03%,13.77%,13.51%,12.83%,14.21%,,,,,,
6,Alabama,13.97%,12.27%,15.85%,11.62%,9.60%,13.99%,14.35%,12.46%,16.47%,,,,,,
7,Alaska,13.02%,11.36%,14.87%,13.42%,11.16%,16.04%,12.95%,11.14%,15.01%,,,,,,
8,Arizona,13.24%,11.40%,15.32%,11.31%,9.21%,13.82%,13.56%,11.55%,15.85%,,,,,,
9,Arkansas,16.07%,14.16%,18.19%,14.44%,12.14%,17.09%,16.34%,14.23%,18.71%,,,,,,
10,California,11.72%,10.85%,12.64%,11.34%,10.07%,12.75%,11.78%,10.81%,12.83%,,,,,,
11,Colorado,15.62%,13.78%,17.65%,17.01%,14.36%,20.03%,15.39%,13.41%,17.60%,,,,,,
12,Connecticut,16.61%,14.58%,18.85%,18.42%,15.63%,21.58%,16.31%,14.10%,18.80%,,,,,,
13,Delaware,15.95%,14.08%,18.03%,14.60%,12.16%,17.43%,16.15%,14.11%,18.43%,,,,,,
14,District of Columbia,16.82%,14.90%,18.94%,15.34%,12.78%,18.31%,17.12%,14.98%,19.48%,,,,,,
15,Florida,13.37%,12.27%,14.55%,12.49%,11.01%,14.14%,13.48%,12.27%,14.80%,,,,,,
16,Georgia,13.17%,11.73%,14.76%,11.26%,9.49%,13.31%,13.50%,11.89%,15.28%,,,,,,
17,Hawaii,10.67%,9.15%,12.41%,11.77%,9.71%,14.19%,10.51%,8.87%,12.42%,,,,,,
18,Idaho,17.28%,15.40%,19.33%,17.22%,14.58%,20.23%,17.29%,15.23%,19.56%,,,,,,
19,Illinois,14.50%,13.30%,15.80%,14.49%,12.67%,16.52%,14.51%,13.18%,15.94%,,,,,,
20,Indiana,17.64%,15.73%,19.74%,17.82%,15.17%,20.81%,17.62%,15.50%,19.96%,,,,,,
