Sex,Race,State,Ethnicity,Age Group,First Year,Last Year,Cause of Death,Year,Deaths,Population,Crude Rate,Age-Adjusted Rate
Males,All Races,Alabama,Both,Ages 10 to 19,1999,2016,Suicide Injury,1999,31,329099,9.42,9.285658033
Males,All Races,Alabama,Both,Ages 10 to 19,1999,2016,Suicide Injury,2000,27,329916,8.18,8.152999808
Males,All Races,Alabama,Both,Ages 10 to 19,1999,2016,Suicide Injury,2001,25,329851,7.58,7.591438807
Males,All Races,Alabama,Both,Ages 10 to 19,1999,2016,Suicide Injury,2002,24,330323,7.27,7.280262299
Males,All Races,Alabama,Both,Ages 10 to 19,1999,2016,Suicide Injury,2003,20,331554,6.03,6.048049503
Males,All Races,Alabama,Both,Ages 10 to 19,1999,2016,Suicide Injury,2004,28,333034,8.41,8.394128084
Males,All Races,Alabama,Both,Ages 10 to 19,1999,2016,Suicide Injury,2005,21,334385,6.28,6.194608666
Males,All Races,Alabama,Both,Ages 10 to 19,1999,2016,Suicide Injury,2006,33,336903,9.8,9.553845946
Males,All Races,Alabama,Both,Ages 10 to 19,1999,2016,Suicide Injury,2007,18,338087,5.32,5.199224579
Males,All Races,Alabama,Both,Ages 10 to 19,1999,2016,Suicide Injury,2008,22,339650,6.48,6.205626383
Males,All Races,Alabama,Both,Ages 10 to 19,1999,2016,Suicide Injury,2009,27,339909,7.94,7.755045032
Males,All Races,Alabama,Both,Ages 10 to 19,1999,2016,Suicide Injury,2010,26,338568,7.68,7.474106395
Males,All Races,Alabama,Both,Ages 10 to 19,1999,2016,Suicide Injury,2011,30,332624,9.02,8.875947508
Males,All Races,Alabama,Both,Ages 10 to 19,1999,2016,Suicide Injury,2012,30,328121,9.14,9.072819424
Males,All Races,Alabama,Both,Ages 10 to 19,1999,2016,Suicide Injury,2013,23,324206,7.09,7.024782612
Males,All Races,Alabama,Both,Ages 10 to 19,1999,2016,Suicide Injury,2014,23,321036,7.16,7.122655426
Males,All Races,Alabama,Both,Ages 10 to 19,1999,2016,Suicide Injury,2015,27,319317,8.46,8.340487232
Males,All Races,Alabama,Both,Ages 10 to 19,1999,2016,Suicide Injury,2016,33,318702,10.35,10.15628736
Males,All Races,Alabama,Both,Ages 10 to 19,1999,2016,Suicide Injury,,468,5955285,7.86,.
Females,All Races,Alabama,Both,Ages 10 to 19,1999,2016,Suicide Injury,1999,P,316070,.,.
Females,All Races,Alabama,Both,Ages 10 to 19,1999,2016,Suicide Injury,2000,P,316319,.,.
Females,All Races,Alabama,Both,Ages 10 to 19,1999,2016,Suicide Injury,2001,P,315630,.,.
Females,All Races,Alabama,Both,Ages 10 to 19,1999,2016,Suicide Injury,2002,P,315434,.,.
Females,All Races,Alabama,Both,Ages 10 to 19,1999,2016,Suicide Injury,2003,P,316743,.,.
Females,All Races,Alabama,Both,Ages 10 to 19,1999,2016,Suicide Injury,2004,P,318289,.,.
Females,All Races,Alabama,Both,Ages 10 to 19,1999,2016,Suicide Injury,2005,P,319396,.,.
Females,All Races,Alabama,Both,Ages 10 to 19,1999,2016,Suicide Injury,2006,P,321967,.,.
Females,All Races,Alabama,Both,Ages 10 to 19,1999,2016,Suicide Injury,2007,P,323599,.,.
Females,All Races,Alabama,Both,Ages 10 to 19,1999,2016,Suicide Injury,2008,P,325433,.,.
Females,All Races,Alabama,Both,Ages 10 to 19,1999,2016,Suicide Injury,2009,P,325774,.,.
Females,All Races,Alabama,Both,Ages 10 to 19,1999,2016,Suicide Injury,2010,10,324558,3.08,3.032794055
Females,All Races,Alabama,Both,Ages 10 to 19,1999,2016,Suicide Injury,2011,P,318423,.,.
Females,All Races,Alabama,Both,Ages 10 to 19,1999,2016,Suicide Injury,2012,P,314695,.,.
Females,All Races,Alabama,Both,Ages 10 to 19,1999,2016,Suicide Injury,2013,P,312470,.,.
Females,All Races,Alabama,Both,Ages 10 to 19,1999,2016,Suicide Injury,2014,P,310356,.,.
Females,All Races,Alabama,Both,Ages 10 to 19,1999,2016,Suicide Injury,2015,10,308893,3.24,3.174293648
Females,All Races,Alabama,Both,Ages 10 to 19,1999,2016,Suicide Injury,2016,P,308225,.,.
Females,All Races,Alabama,Both,Ages 10 to 19,1999,2016,Suicide Injury,,93,5712274,1.63,.
Males,All Races,Alaska,Both,Ages 10 to 19,1999,2016,Suicide Injury,1999,13,54865,23.69,24.54762371
Males,All Races,Alaska,Both,Ages 10 to 19,1999,2016,Suicide Injury,2000,21,55506,37.83,39.21105627
Males,All Races,Alaska,Both,Ages 10 to 19,1999,2016,Suicide Injury,2001,15,56959,26.33,26.58660709
Males,All Races,Alaska,Both,Ages 10 to 19,1999,2016,Suicide Injury,2002,10,57850,17.29,17.47761313
Males,All Races,Alaska,Both,Ages 10 to 19,1999,2016,Suicide Injury,2003,17,57765,29.43,29.54726019
Males,All Races,Alaska,Both,Ages 10 to 19,1999,2016,Suicide Injury,2004,18,57643,31.23,31.04353697
Males,All Races,Alaska,Both,Ages 10 to 19,1999,2016,Suicide Injury,2005,P,56654,.,.
Males,All Races,Alaska,Both,Ages 10 to 19,1999,2016,Suicide Injury,2006,13,55860,23.27,22.57019393
Males,All Races,Alaska,Both,Ages 10 to 19,1999,2016,Suicide Injury,2007,13,55046,23.62,22.71296231
Males,All Races,Alaska,Both,Ages 10 to 19,1999,2016,Suicide Injury,2008,15,54070,27.74,26.60341088
Males,All Races,Alaska,Both,Ages 10 to 19,1999,2016,Suicide Injury,2009,P,53842,.,.
Males,All Races,Alaska,Both,Ages 10 to 19,1999,2016,Suicide Injury,2010,17,53326,31.88,31.27809132
Males,All Races,Alaska,Both,Ages 10 to 19,1999,2016,Suicide Injury,2011,P,53102,.,.
Males,All Races,Alaska,Both,Ages 10 to 19,1999,2016,Suicide Injury,2012,12,52463,22.87,22.72449747
Males,All Races,Alaska,Both,Ages 10 to 19,1999,2016,Suicide Injury,2013,14,52096,26.87,26.78160677
Males,All Races,Alaska,Both,Ages 10 to 19,1999,2016,Suicide Injury,2014,14,51709,27.07,26.89651375
Males,All Races,Alaska,Both,Ages 10 to 19,1999,2016,Suicide Injury,2015,14,50899,27.51,27.25787804
Males,All Races,Alaska,Both,Ages 10 to 19,1999,2016,Suicide Injury,2016,15,51047,29.38,29.37759314
Males,All Races,Alaska,Both,Ages 10 to 19,1999,2016,Suicide Injury,,242,980702,24.68,.
Females,All Races,Alaska,Both,Ages 10 to 19,1999,2016,Suicide Injury,1999,P,50745,.,.
Females,All Races,Alaska,Both,Ages 10 to 19,1999,2016,Suicide Injury,2000,P,51363,.,.
Females,All Races,Alaska,Both,Ages 10 to 19,1999,2016,Suicide Injury,2001,P,52496,.,.
Females,All Races,Alaska,Both,Ages 10 to 19,1999,2016,Suicide Injury,2002,P,53252,.,.
Females,All Races,Alaska,Both,Ages 10 to 19,1999,2016,Suicide Injury,2003,P,53243,.,.
Females,All Races,Alaska,Both,Ages 10 to 19,1999,2016,Suicide Injury,2004,P,53391,.,.
